# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283284196 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.230728
# Diagonal elements of inverse mass matrix:
# 0.00397548, 0.00581114, 0.00480184, 0.0394736, 0.0277306, 0.00500012
-21.8704,0.911172,0.230728,4,15,0,24.7696,0.0170896,0.0866363,0.299988,2.55864,2.88864,1.56355,0.988676,0.945988,0.84145,0.476005,0.927793,0.731719,0.477755,0.158008
-20.8753,0.991125,0.230728,3,15,0,26.5476,0.0177403,0.0793184,0.314337,2.78608,3.04753,1.59184,0.988006,0.949266,0.832916,0.458266,0.925116,0.747474,0.469801,0.15366
-22.4932,0.860222,0.230728,4,15,0,24.0563,0.0169767,0.0904105,0.315826,2.76183,2.72039,1.62345,0.989025,0.945207,0.839098,0.478595,0.928676,0.72673,0.473726,0.163674
-22.2084,0.991369,0.230728,4,15,0,24.7545,0.0173801,0.0911828,0.312017,2.72196,2.7188,1.60083,0.98877,0.944754,0.840384,0.478741,0.927086,0.724479,0.474142,0.161692
-23.5186,0.846675,0.230728,4,15,0,27.1678,0.019126,0.0914334,0.309032,2.70638,3.00172,1.48466,0.987151,0.942276,0.834609,0.454335,0.919614,0.718747,0.463413,0.142781
-24.485,0.974454,0.230728,2,3,0,25.3161,0.0197456,0.0923804,0.301842,2.51718,2.7408,1.52557,0.98722,0.94379,0.843185,0.482544,0.917915,0.719506,0.473897,0.156587
-23.0541,0.990599,0.230728,3,7,0,26.1955,0.0196351,0.0905772,0.309486,2.4958,2.8659,1.51861,0.987056,0.94382,0.837427,0.476867,0.918052,0.722275,0.467172,0.1544
-23.0001,0.949661,0.230728,4,15,0,25.3071,0.0189786,0.0913286,0.305663,2.60397,3.26728,1.59456,0.986849,0.940754,0.832896,0.459742,0.92009,0.721482,0.474732,0.156415
-21.8827,0.98477,0.230728,4,31,0,26.2148,0.0189805,0.0951094,0.32925,3.48703,2.65171,1.68313,0.987888,0.94327,0.836088,0.457316,0.92144,0.719848,0.471258,0.164166
-22.0486,0.967462,0.230728,2,3,0,22.4503,0.0190406,0.09525,0.324359,3.45452,2.67747,1.67438,0.9878,0.942956,0.837291,0.456099,0.921135,0.719146,0.473278,0.162559
