# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283283826 (Default)
# output
#   file = sporadic-survival-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.214483
# Diagonal elements of inverse mass matrix:
# 0.00378689, 0.00648179, 0.00648443, 0.0496554, 0.0303242, 0.00645901
-22.3575,0.894054,0.214483,3,11,0,26.8296,0.017683,0.0783371,0.317171,2.39754,3.31218,1.51838,0.987666,0.948255,0.826296,0.464221,0.924755,0.74663,0.45965,0.153214
-22.6558,0.442862,0.214483,4,15,0,29.3526,0.0184026,0.0858507,0.343023,2.7453,2.82216,1.62782,0.987938,0.94701,0.826347,0.474561,0.923093,0.735605,0.45674,0.162556
-22.3521,0.982521,0.214483,3,15,0,26.1152,0.0187273,0.0912677,0.298657,2.63931,3.16391,1.57342,0.98717,0.941413,0.837277,0.459748,0.92113,0.721319,0.478084,0.153736
-21.2811,0.989162,0.214483,3,15,0,25.292,0.0176326,0.0816421,0.313906,3.16699,2.80742,1.68173,0.988463,0.949594,0.838746,0.460516,0.926171,0.746005,0.479667,0.162609
-23.7446,0.994802,0.214483,4,31,0,24.8131,0.0171444,0.070482,0.316672,2.51567,3.21425,1.59126,0.98817,0.953686,0.829073,0.467009,0.927155,0.7669,0.467389,0.159158
-22.7479,0.696028,0.214483,4,31,0,27.7747,0.0184712,0.0850391,0.320245,2.89662,3.0857,1.56584,0.987459,0.945594,0.829463,0.448247,0.922201,0.734259,0.463314,0.147534
-20.5153,0.998989,0.214483,4,15,0,22.6491,0.0174357,0.0852075,0.318637,2.90508,2.69821,1.57621,0.988769,0.94824,0.837902,0.468245,0.926852,0.736064,0.467675,0.155824
-21.8024,0.943446,0.214483,4,15,0,21.9799,0.0180293,0.0803555,0.322155,2.95887,2.8844,1.72062,0.988081,0.949856,0.834423,0.469319,0.924641,0.749414,0.477481,0.168589
-24.1781,0.919175,0.214483,4,15,0,27.5137,0.0163758,0.0840156,0.280013,2.58585,2.98176,1.44659,0.988998,0.94671,0.846986,0.458707,0.930122,0.733297,0.481009,0.141253
-22.6213,1,0.214483,3,7,0,24.9221,0.0161391,0.0826405,0.300247,2.41871,2.92268,1.44163,0.989239,0.947912,0.839273,0.471953,0.931128,0.736433,0.465847,0.146136
-21.4208,0.984932,0.214483,4,15,0,24.6057,0.0183066,0.0831772,0.301895,2.33615,2.96736,1.43408,0.987744,0.947285,0.837642,0.474952,0.922643,0.734817,0.463666,0.147367
-24.003,0.954681,0.214483,3,7,0,25.5163,0.0197022,0.0789276,0.295522,2.28644,3.25227,1.40987,0.986363,0.948076,0.83521,0.464156,0.916779,0.742449,0.46438,0.14369
-23.2409,0.487017,0.214483,3,7,0,27.8687,0.0193659,0.0793223,0.287624,2.30139,3.16722,1.39903,0.98672,0.948304,0.839951,0.465382,0.918157,0.741561,0.469641,0.142316
-22.4162,0.992486,0.214483,4,15,0,26.2443,0.0162836,0.0894386,0.316593,2.89228,2.93435,1.67566,0.989141,0.94421,0.835125,0.46596,0.931084,0.729219,0.476651,0.163433
-23.846,0.820402,0.214483,4,15,0,26.4881,0.0189619,0.0800062,0.304306,3.42563,2.44448,1.58301,0.988318,0.953187,0.849492,0.463044,0.921707,0.748871,0.479791,0.158981
-24.3542,0.98508,0.214483,4,15,0,27.4241,0.018757,0.0750157,0.306496,3.31387,2.61198,1.50577,0.988093,0.954579,0.843856,0.448756,0.921842,0.756944,0.469743,0.144738
-22.7764,1,0.214483,4,15,0,25.6058,0.0194921,0.0774421,0.324831,2.98294,2.56836,1.5983,0.987731,0.953631,0.838698,0.474201,0.919478,0.754123,0.46676,0.160834
-24.1087,0.825546,0.214483,4,15,0,26.8489,0.017997,0.0802942,0.333487,3.58047,2.84211,1.64146,0.988167,0.950081,0.829815,0.439417,0.924623,0.747614,0.463582,0.153106
-21.2771,0.896887,0.214483,2,3,0,25.4234,0.0180509,0.0803028,0.326869,3.27049,2.67234,1.68091,0.988433,0.951331,0.836513,0.463726,0.924857,0.749513,0.472363,0.164978
