# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283283196 (Default)
# output
#   file = sporadic-survival-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.222189
# Diagonal elements of inverse mass matrix:
# 0.00385289, 0.00600779, 0.00485089, 0.0421775, 0.0254841, 0.00571841
-24.0504,0.984426,0.222189,4,15,0,25.3637,0.0199499,0.0937261,0.362917,3.61911,2.28668,1.59117,0.988094,0.947371,0.83207,0.468755,0.918536,0.722021,0.446116,0.164883
-23.8478,0.973611,0.222189,4,15,0,26.2604,0.0183387,0.0914288,0.328949,4.5772,2.41191,1.66619,0.98877,0.947423,0.841805,0.443516,0.924343,0.727956,0.471794,0.166406
-23.4029,0.919746,0.222189,4,15,0,28.318,0.0175586,0.0954668,0.337131,3.46796,2.88757,1.76747,0.988385,0.941275,0.82913,0.453035,0.92653,0.720661,0.472689,0.167837
-22.6186,0.989918,0.222189,4,15,0,25.135,0.0183537,0.078765,0.325532,2.55104,2.72371,1.46163,0.988133,0.95158,0.833178,0.475429,0.922999,0.746637,0.451902,0.14785
-23.2738,0.682925,0.222189,4,31,0,26.7678,0.0177785,0.092145,0.329955,3.14716,2.63367,1.74728,0.98868,0.945146,0.837001,0.47681,0.926133,0.727665,0.476733,0.175299
-25.8888,0.991363,0.222189,4,15,0,27.3302,0.0196586,0.0882973,0.327379,4.24788,2.01312,1.52489,0.988979,0.953076,0.852619,0.469285,0.920352,0.733302,0.463948,0.16665
-23.8128,1,0.222189,4,15,0,26.5945,0.0186052,0.0882383,0.362943,3.82009,2.2678,1.68129,0.988933,0.95053,0.833766,0.472701,0.923796,0.735788,0.455026,0.176038
-29.354,0.512001,0.222189,4,15,0,33.7425,0.0180161,0.08467,0.277114,3.03584,3.17565,1.50391,0.987626,0.945163,0.845684,0.431077,0.923624,0.732807,0.487469,0.135971
-22.6913,0.992176,0.222189,2,3,0,29.8203,0.0178913,0.0856628,0.279925,2.54427,3.20439,1.53094,0.987672,0.944432,0.844287,0.459828,0.924137,0.731403,0.487621,0.150818
-22.0827,0.958406,0.222189,4,15,0,26.4004,0.0170851,0.084363,0.311753,2.44982,2.77776,1.47556,0.988851,0.947985,0.837767,0.480304,0.927786,0.734422,0.462054,0.15147
-23.9552,0.92598,0.222189,4,15,0,26.6357,0.0173456,0.0899019,0.271922,2.31502,3.33189,1.45155,0.987868,0.940977,0.845112,0.463011,0.925856,0.719445,0.486018,0.147525
-22.1757,0.997688,0.222189,3,7,0,24.4117,0.0173181,0.0808153,0.304482,2.18105,3.27889,1.39715,0.987952,0.94675,0.830676,0.470298,0.92589,0.737686,0.456511,0.145969
-22.6475,0.990845,0.222189,3,15,0,23.7402,0.0171812,0.081141,0.298562,2.02421,3.46835,1.37623,0.987807,0.9455,0.830147,0.475234,0.92613,0.735654,0.457828,0.149103
-23.3707,0.978158,0.222189,3,15,0,24.3255,0.0174931,0.0870887,0.276293,2.42396,3.2521,1.53633,0.987878,0.943294,0.845238,0.466398,0.925616,0.728381,0.490642,0.154992
-22.0286,1,0.222189,4,15,0,23.7636,0.0174596,0.0839825,0.280807,2.44656,3.32571,1.50804,0.987801,0.944705,0.841815,0.45931,0.925572,0.733847,0.484311,0.15013
-23.3198,0.942922,0.222189,4,31,0,26.1831,0.0201796,0.0850041,0.321745,2.67749,2.80205,1.50774,0.986823,0.94748,0.833593,0.46812,0.91611,0.733894,0.458393,0.149397
-23.4917,0.994268,0.222189,4,15,0,24.7352,0.01644,0.0885463,0.341976,2.95533,2.93324,1.68772,0.989041,0.944749,0.82529,0.464105,0.930512,0.731377,0.462344,0.163752
-22.8196,1,0.222189,4,15,0,23.7836,0.0164906,0.0886358,0.33549,3.04456,2.94381,1.71744,0.988994,0.944667,0.828002,0.462272,0.930371,0.732046,0.468815,0.165628
-23.8218,0.841997,0.222189,3,7,0,26.2003,0.0166008,0.0912841,0.332641,2.92618,3.13669,1.67634,0.988647,0.941752,0.825018,0.455256,0.929566,0.724704,0.465727,0.159679
-23.7206,0.910476,0.222189,4,15,0,26.5456,0.0170928,0.0889382,0.311225,2.55336,3.1508,1.7035,0.988298,0.943082,0.833819,0.477482,0.927725,0.730148,0.481439,0.172357
-23.0779,0.96862,0.222189,4,31,0,25.601,0.0171441,0.0905991,0.310663,2.87507,3.22912,1.75169,0.988161,0.941687,0.833382,0.461045,0.927542,0.72804,0.485652,0.168656
-24.0454,0.504266,0.222189,3,15,0,32.7162,0.0180743,0.0827485,0.331716,2.74312,3.35499,1.74505,0.987359,0.945639,0.82275,0.462548,0.923827,0.743226,0.471568,0.169962
-20.4109,0.998487,0.222189,3,7,0,24.5742,0.0178876,0.082749,0.319025,2.86803,2.8926,1.63464,0.988154,0.948306,0.834443,0.465359,0.924929,0.741952,0.471611,0.159645
-23.4547,0.819676,0.222189,2,7,0,25.7111,0.0182559,0.0804394,0.299645,3.11374,2.80092,1.69849,0.988075,0.95035,0.844792,0.464641,0.923882,0.749037,0.490548,0.165445
-22.8456,0.985069,0.222189,4,15,0,26.5897,0.0176198,0.0855875,0.287804,2.4203,2.83095,1.46324,0.988418,0.946871,0.846567,0.478401,0.9256,0.731138,0.477575,0.150008
-22.3901,0.998581,0.222189,3,15,0,24.2394,0.017358,0.0795013,0.316663,2.34988,3.11899,1.44901,0.988147,0.948544,0.828815,0.468663,0.926097,0.742786,0.454089,0.147446
-22.8424,0.942571,0.222189,3,7,0,25.402,0.0174071,0.0864542,0.288085,2.84238,2.81923,1.51019,0.988578,0.946523,0.847181,0.458499,0.926561,0.730806,0.481799,0.146059
-20.9435,0.990818,0.222189,3,7,0,24.4413,0.0185171,0.0882624,0.330237,2.86317,2.80298,1.58855,0.987895,0.945722,0.831219,0.46581,0.922587,0.729552,0.460807,0.155773
-21.4898,0.998519,0.222189,4,23,0,22.4098,0.01728,0.0786457,0.308208,2.35353,3.29178,1.48681,0.987967,0.948133,0.83003,0.465099,0.926257,0.745128,0.462704,0.150896
-23.3024,0.674776,0.222189,3,11,0,25.5098,0.0171859,0.0805378,0.295691,2.32765,2.96926,1.53415,0.988487,0.948961,0.841423,0.484765,0.927215,0.743532,0.477592,0.160506
