# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395905 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.114315
# Diagonal elements of inverse mass matrix:
# 0.0102392, 0.00877644, 0.00982526, 0.0179169, 0.226457, 0.0271319
-28.0077,0.952704,0.114315,4,19,0,33.495,0.0172959,0.118074,0.435897,0.930695,5.54456,0.738889,0.985989,0.910877,0.729895,0.551086,0.922296,0.621965,0.281721,0.138776
-27.1564,0.856381,0.114315,5,63,0,31.157,0.0179406,0.120942,0.4698,1.13017,3.98433,0.791749,0.986649,0.916089,0.735463,0.533826,0.920867,0.62307,0.277348,0.124343
-27.4562,0.960413,0.114315,3,15,0,28.48,0.0173673,0.116749,0.499587,1.08896,4.0139,0.810131,0.987043,0.91866,0.723317,0.543952,0.923245,0.632679,0.266862,0.132095
-28.1143,0.964685,0.114315,3,7,0,28.8901,0.0178887,0.112636,0.469957,1.15854,4.07323,0.838005,0.986604,0.921068,0.735421,0.529613,0.921135,0.642677,0.284613,0.128708
-29.1031,0.974975,0.114315,5,31,0,32.0878,0.0216368,0.111115,0.528733,1.32969,3.23421,0.949081,0.985028,0.9278,0.733016,0.532281,0.907667,0.655032,0.280675,0.132536
-28.2017,0.95116,0.114315,4,15,0,30.2427,0.0216134,0.115848,0.559963,1.33654,3.00119,0.944326,0.985457,0.926948,0.728183,0.540224,0.908171,0.646438,0.269535,0.132287
-28.4876,0.932856,0.114315,3,7,0,29.3548,0.0214419,0.115919,0.555286,1.32223,3.20371,0.989,0.985216,0.925282,0.725698,0.538172,0.908638,0.647612,0.277145,0.139556
-29.4088,0.561233,0.114315,5,47,0,33.5304,0.0201986,0.12085,0.577701,1.52613,2.67296,0.971842,0.987022,0.927474,0.733783,0.529438,0.914472,0.640305,0.269931,0.12415
-27.8209,0.12793,0.114315,5,31,0,34.8586,0.0215424,0.118412,0.540738,1.29098,3.10856,0.895293,0.985303,0.924357,0.730249,0.539403,0.908038,0.638024,0.268117,0.128021
-27.7864,0.962397,0.114315,4,15,0,28.8981,0.0199815,0.11496,0.546204,1.30576,3.05472,0.891752,0.986443,0.926853,0.729693,0.538725,0.91424,0.645069,0.265782,0.126391
-30.4591,0.740459,0.114315,6,79,0,34.2314,0.0164462,0.0916869,0.356366,0.746679,35.9615,0.503765,0.984201,0.916502,0.726662,0.538751,0.922993,0.663398,0.281852,0.123318
-27.1007,0.992061,0.114315,5,31,0,31.5708,0.016938,0.105327,0.381319,0.799987,9.46243,0.530304,0.985027,0.912233,0.731426,0.546729,0.922076,0.634023,0.273371,0.120293
-29.2827,0.782537,0.114315,4,15,0,31.6197,0.0181225,0.109262,0.392442,0.81125,12.8993,0.647386,0.983511,0.907007,0.722629,0.543975,0.916928,0.630361,0.285695,0.139219
-29.7835,0.995258,0.114315,5,31,0,32.5975,0.0161303,0.101373,0.447906,1.02362,5.54889,0.832094,0.986928,0.922865,0.727496,0.534649,0.927438,0.66374,0.290958,0.141505
-28.0856,0.868462,0.114315,3,7,0,31.4046,0.0161842,0.104149,0.465643,1.04848,4.97413,0.773827,0.987199,0.922578,0.723166,0.531271,0.927356,0.655486,0.273695,0.129155
-27.5216,0.992548,0.114315,5,31,0,29.6287,0.0169943,0.126531,0.471176,1.04264,4.18501,0.762752,0.987159,0.911215,0.730699,0.546716,0.924498,0.609342,0.271164,0.129386
-29.3607,0.791361,0.114315,3,15,0,32.638,0.0164663,0.119414,0.443952,1.04338,5.44775,0.827791,0.986711,0.910618,0.730008,0.530657,0.926066,0.624846,0.292424,0.138317
-26.8929,0.929368,0.114315,5,39,0,34.0871,0.0168373,0.111565,0.395654,0.848945,9.88733,0.62464,0.985051,0.907369,0.725795,0.537214,0.922722,0.624905,0.280926,0.128915
-26.8446,0.990885,0.114315,4,15,0,27.7106,0.0171648,0.110816,0.391029,0.849712,7.99866,0.567595,0.985158,0.910009,0.732227,0.540074,0.921503,0.624298,0.27489,0.118984
-25.9481,0.977282,0.114315,5,47,0,31.0707,0.0179364,0.110909,0.464367,1.02139,4.50846,0.767048,0.986176,0.919829,0.729124,0.545531,0.920354,0.641163,0.274245,0.132238
-26.642,0.732572,0.114315,3,7,0,29.1243,0.0178276,0.10908,0.454799,1.05567,4.34507,0.731324,0.986392,0.921698,0.734369,0.537267,0.920823,0.643599,0.273312,0.122036
-26.7708,0.94304,0.114315,5,63,0,29.5409,0.0163067,0.112456,0.420586,0.897987,7.10303,0.699241,0.986155,0.910834,0.725572,0.542522,0.925781,0.629582,0.281258,0.135527
-29.0559,0.882167,0.114315,4,23,0,30.2151,0.0179054,0.103239,0.438222,0.888623,5.68392,0.648392,0.985416,0.92061,0.724513,0.553882,0.919395,0.649556,0.264489,0.129124
-29.7228,0.849646,0.114315,3,15,0,32.4553,0.0187461,0.0994107,0.408692,0.947407,7.11479,0.64494,0.984101,0.920272,0.729595,0.522964,0.915288,0.656749,0.278665,0.118237
-27.0636,0.999522,0.114315,5,31,0,30.5304,0.0164361,0.108467,0.435779,0.973848,6.10789,0.70978,0.986412,0.915944,0.724562,0.530327,0.925589,0.640302,0.275942,0.126725
-29.3751,0.848774,0.114315,5,31,0,32.2188,0.0207391,0.102751,0.386955,0.838826,10.3814,0.55674,0.98153,0.913487,0.726943,0.532607,0.905814,0.641407,0.274,0.117888
-29.5201,0.973399,0.114315,5,31,0,32.9881,0.0145876,0.0973203,0.3655,0.758233,13.1414,0.512833,0.986659,0.915874,0.732639,0.550328,0.931894,0.651517,0.279492,0.124262
-30.3528,0.998237,0.114315,3,15,0,32.9338,0.0136924,0.0945293,0.371367,0.784932,16.4606,0.521859,0.987265,0.916883,0.725979,0.536384,0.935697,0.658472,0.276188,0.120081
-29.4709,0.995949,0.114315,4,15,0,30.5834,0.0137815,0.0961555,0.369271,0.774348,14.5473,0.534432,0.987292,0.916266,0.729485,0.543951,0.935425,0.655331,0.280395,0.124878
-29.5341,0.945114,0.114315,4,15,0,31.0561,0.0143654,0.10253,0.364573,0.764772,12.7626,0.507662,0.986892,0.91186,0.733531,0.548177,0.932896,0.638119,0.279325,0.121972
