# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-3.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.139703
# Diagonal elements of inverse mass matrix:
# 0.00329976, 0.00132022, 0.0418041, 1.14916, 1.58764, 3.06252, 0.0993189, 25.4289, 0.0546752, 1.63119, 0.920968, 2.34853, 2.14466, 0.206424, 0.455079, 0.865831, 0.138298, 0.0616028, 0.661864, 2.10743, 0.851204, 0.0645157, 0.142128, 0.115308, 0.0330773, 0.11371
4967.62,0.815584,0.139703,5,31,0,-4952.73,-4.74224,-5.03194,-4.30652,0.0363626,0.048128,0.00152006,0.199825,41.7178,30.3183,0.478983,0.173999,0.254982,0.115381,0.278714,0.393893,0.00861529,0.134038,0.117325,0.0691468,0.00767025,0.0170805,1.10403,1.75538,0.376324,0.589537,0.315812,0.0946514
4965.03,0.967632,0.139703,5,31,0,-4953.87,-5.06398,-5.05793,-4.75733,0.0425896,0.0493166,0.00172829,0.201117,40.4197,48.9131,0.411714,0.35958,0.385365,0.0107915,0.223673,0.377923,0.00439444,0.148091,0.104754,0.0470771,0.0302778,0.00349689,1.33498,1.67779,0.343783,0.534134,0.385968,0.0798978
4966.83,0.973883,0.139703,5,31,0,-4952.53,-4.69238,-5.00584,-4.04831,0.0383524,0.0472429,0.0022223,0.214029,38.9402,31.9551,0.491042,0.305509,0.145156,0.120013,0.203199,0.388282,0.0588381,0.112673,0.129989,0.0370631,0.00592778,0.00324961,1.63355,1.32661,0.215903,0.569108,0.294175,0.136717
4964.46,0.605304,0.139703,5,31,0,-4951.67,-5.17262,-4.92131,-4.78936,0.0413143,0.0475129,0.0023281,0.144954,36.0581,31.9607,0.44838,0.180676,0.0969667,0.0160127,0.284869,0.186151,0.089158,0.199694,0.0650734,0.0652916,0.00685436,0.00323498,1.90359,2.73208,0.599123,0.661151,0.262376,0.0764731
4962.34,0.970302,0.139703,5,31,0,-4947.99,-5.37989,-5.15103,-4.20552,0.0432108,0.0499414,0.00482222,0.132583,31.5947,28.2948,0.498548,0.0767362,0.362539,0.0969836,0.24781,0.467015,0.0149327,0.196507,0.140038,0.0311812,0.030935,0.0149089,1.27662,3.10789,0.641329,0.61939,0.276038,0.104572
4968.05,0.985021,0.139703,5,31,0,-4955.52,-4.73695,-5.10275,-4.32684,0.041556,0.0477334,0.00860074,0.181816,32.7706,38.9522,0.381106,0.290048,0.114784,0.0113384,0.142396,0.324448,0.051965,0.0848195,0.0900987,0.038368,0.0144844,0.0056088,1.99468,1.46231,0.228355,0.558133,0.371313,0.0705536
4966.75,0.992181,0.139703,5,31,0,-4959.29,-5.16463,-5.15533,-4.92899,0.0393369,0.0488357,0.00552179,0.125668,39.8918,25.903,0.49796,0.0974957,0.344422,0.0185532,0.142197,0.409617,0.0323398,0.132622,0.148683,0.0838741,0.0241134,0.0114167,1.04362,2.72505,0.592074,0.634397,0.265411,0.100192
4961.4,0.957231,0.139703,5,31,0,-4951.97,-5.40092,-5.25315,-5.31151,0.0463658,0.0483884,0.00239862,0.131066,42.3321,28.6163,0.499372,0.153328,0.245863,0.0248406,0.168849,0.469325,0.0608978,0.120287,0.127626,0.203773,0.0295125,0.0132269,1.10585,1.61828,0.24546,0.676241,0.21546,0.108299
4952.22,0.95547,0.139703,5,31,0,-4939.53,-5.47505,-5.17975,-5.01441,0.0495065,0.0497371,0.00331807,0.145366,34.7149,27.3889,0.499976,0.196767,0.211687,0.0363889,0.186418,0.459555,0.141977,0.118643,0.142579,0.367972,0.000887739,0.0120068,1.43882,1.06361,0.625057,0.612992,0.315086,0.0719216
4956.35,0.994225,0.139703,5,31,0,-4941.93,-5.24617,-5.24479,-4.76581,0.049155,0.0485965,0.00097675,0.168445,38.4997,22.8996,0.499974,0.181568,0.20306,0.0535932,0.167962,0.483143,0.130637,0.106249,0.16709,0.224853,0.00530442,0.00731885,1.12072,1.25163,0.726461,0.588647,0.322352,0.089
4964.45,0.940155,0.139703,4,31,0,-4943.95,-5.20366,-5.0682,-4.74144,0.0414621,0.0476235,0.00591138,0.154883,34.1694,26.8797,0.499889,0.242152,0.215152,0.0109612,0.27524,0.467565,0.0212077,0.183881,0.147969,0.0415073,0.0450338,0.00821723,1.73701,2.57661,0.595065,0.614716,0.305857,0.0794267
4965.39,0.681238,0.139703,5,31,0,-4947.33,-4.90622,-4.90537,-3.33231,0.0409415,0.0497559,0.010499,0.158548,34.1808,35.7827,0.443523,0.0874615,0.0915324,0.0619421,0.15788,0.213186,0.00503936,0.1061,0.0656714,0.00893431,0.00303892,0.00524619,1.25593,1.62965,0.438833,0.656722,0.240287,0.102992
4965.57,0.758751,0.139703,5,31,0,-4953.72,-4.9645,-4.92007,-3.0775,0.0403447,0.0499449,0.00499249,0.163979,28.1109,33.4176,0.493543,0.184053,0.294938,0.0537181,0.170945,0.317442,0.011859,0.114398,0.0750901,0.0104852,0.0104381,0.0175141,1.09038,2.25215,0.528656,0.635739,0.266545,0.0977163
4961.16,0.887217,0.139703,5,31,0,-4953.92,-4.88139,-5.15007,-2.81721,0.0377142,0.0487343,0.0025602,0.20068,38.1711,31.6159,0.48943,0.083713,0.173322,0.0389965,0.289194,0.385762,0.0147054,0.182187,0.12003,0.00932016,0.0200852,0.00111049,2.40703,1.49228,0.214848,0.670883,0.248463,0.0806533
4963.39,0.649421,0.139703,5,31,0,-4947.68,-5.2054,-4.98757,-2.55771,0.0447755,0.0486291,0.00159905,0.195866,37.1466,43.8276,0.49484,0.343198,0.0347963,0.12528,0.288273,0.383718,0.00640555,0.185646,0.129983,0.0180188,0.0172819,0.00384854,1.54073,1.90301,0.383221,0.616291,0.32166,0.0620486
4966.02,0.862947,0.139703,5,31,0,-4951.3,-5.0098,-4.8812,-3.21623,0.038062,0.0497978,0.00332762,0.156151,35.0537,27.5246,0.489633,0.0782295,0.0955714,0.00932424,0.157855,0.311258,0.00515815,0.125282,0.0939016,0.022592,0.0179041,0.00252679,1.16186,2.37322,0.28938,0.629229,0.280238,0.090533
4966.85,0.973235,0.139703,4,15,0,-4955.49,-4.72127,-4.81874,-2.88694,0.0442712,0.0492018,0.00191736,0.193759,31.0277,40.7394,0.485568,0.225713,0.238569,0.160802,0.123443,0.28495,0.0149329,0.0727322,0.0808489,0.0143228,0.00587341,0.00804083,1.66925,2.08555,0.293271,0.624259,0.260503,0.115238
4964,0.995583,0.139703,5,31,0,-4955.72,-5.12101,-5.10702,-1.90365,0.0399038,0.0488663,0.011367,0.13459,36.1731,28.6756,0.484483,0.216462,0.00109967,0.00401205,0.173192,0.371167,0.00328379,0.133545,0.104926,0.00584347,0.0356032,0.0112004,1.24737,1.52381,0.475368,0.613542,0.331736,0.0547225
4963.32,0.996458,0.139703,5,31,0,-4953.43,-4.75156,-5.07184,-1.5189,0.0432231,0.0495342,0.00315415,0.135266,26.9047,30.4994,0.459923,0.292385,0.211741,0.117893,0.0822861,0.412019,0.00220684,0.067332,0.112008,0.00551919,0.00859264,0.00767791,1.66103,2.18156,0.268486,0.513572,0.352321,0.134108
4963.18,0.937769,0.139703,5,63,0,-4953.71,-4.77619,-4.9149,-1.31199,0.0427065,0.0479013,0.00174716,0.191676,34.238,31.0538,0.43965,0.320663,0.011855,0.0106892,0.141126,0.460168,0.00303873,0.0788221,0.139166,0.0067552,0.0329413,0.00157327,1.21645,2.01222,0.422274,0.628413,0.305276,0.0663115
4962.39,0.986589,0.139703,5,31,0,-4953.65,-5.18271,-4.93579,-1.41455,0.0399879,0.0498132,0.00356833,0.124315,37.4512,37.4113,0.496465,0.0916316,0.15404,0.119158,0.167591,0.254158,0.00068743,0.169722,0.0709251,0.00595248,0.00996478,0.0118793,1.73473,2.01776,0.360598,0.612208,0.267221,0.120571
4960.44,0.683529,0.139703,5,31,0,-4949.1,-4.90014,-5.02501,-1.35233,0.04981,0.0492896,0.00465196,0.20512,38.8642,32.7862,0.487968,0.260673,0.0198003,0.00699379,0.145294,0.373819,0.00265052,0.0795203,0.112756,0.00847883,0.0103412,0.00530464,1.38064,1.54398,0.342767,0.610459,0.326594,0.062947
4964.02,0.941645,0.139703,6,95,0,-4947.54,-5.25857,-5.11128,-2.31672,0.0420654,0.0479984,0.00430858,0.0848719,29.7159,35.9988,0.452965,0.245989,0.137352,0.0998299,0.177435,0.266799,0.00386741,0.126577,0.075724,0.00407038,0.0163876,0.0233554,1.48697,2.04207,0.490967,0.610843,0.27662,0.112537
4960.08,0.936372,0.139703,5,63,0,-4949.11,-5.00113,-5.13044,-3.74843,0.0444475,0.0493575,0.00164468,0.109436,32.9605,21.1804,0.495149,0.0969681,0.422348,0.01796,0.0899524,0.426154,0.00063941,0.0666694,0.119998,0.00960011,0.0130563,0.00858779,1.51927,2.38616,0.23044,0.643667,0.260867,0.0954657
4963.19,0.981624,0.139703,5,31,0,-4949.43,-5.0215,-4.84677,-5.55418,0.0392778,0.0470981,0.00265895,0.170816,39.9979,43.4471,0.447893,0.125963,0.32607,0.0580898,0.306466,0.282426,0.152862,0.206431,0.0841657,0.177892,0.0198813,0.011365,2.09386,1.48627,0.585648,0.579766,0.33416,0.086074
4962.32,0.997596,0.139703,5,31,0,-4943.58,-4.94859,-5.20515,-3.90819,0.0381428,0.0498058,0.00155497,0.141362,37.3757,24.2451,0.467832,0.109633,0.418653,0.00758914,0.129148,0.441511,0.00469674,0.105206,0.139496,0.0420537,0.0101212,0.00401227,1.08423,2.72207,0.320299,0.582801,0.325949,0.0912494
4965.44,0.995147,0.139703,5,31,0,-4947.41,-5.23539,-4.94607,-4.49703,0.0388504,0.0466203,0.00104912,0.114981,38.7866,27.0249,0.478701,0.145487,0.227636,0.163163,0.136808,0.323205,0.0476492,0.137909,0.0922847,0.0967034,0.00993122,0.0123396,2.87944,1.24238,0.377151,0.609201,0.294251,0.0965475
4969.08,1,0.139703,5,31,0,-4955.58,-4.87129,-5.16811,-5.14258,0.0442734,0.0494056,0.00588746,0.165066,33.2613,33.6299,0.483249,0.29578,0.351222,0.0161555,0.128165,0.329728,0.0269424,0.0756411,0.114394,0.129809,0.0041431,0.0122598,1.13655,2.03699,0.22645,0.519852,0.34284,0.137307
4969.18,0.982744,0.139703,5,31,0,-4955.14,-4.89664,-4.99662,-4.7864,0.0381891,0.0460428,0.00418853,0.141619,33.8627,37.3341,0.499287,0.231089,0.19504,0.0166241,0.131794,0.413097,0.0926912,0.11407,0.113695,0.0859936,0.00571586,0.00552811,1.14324,3.16882,0.267848,0.606067,0.306631,0.0873016
4960.79,0.949475,0.139703,5,31,0,-4949.44,-5.20041,-5.34862,-5.2098,0.0477817,0.0479662,0.0232973,0.155218,45.1916,43.3729,0.499058,0.31413,0.139017,0.143865,0.156484,0.393779,0.0531347,0.0893434,0.159794,0.0783154,0.0329365,0.0223553,0.910379,2.19214,0.230852,0.566313,0.353835,0.0798518
4959.15,0.857133,0.139703,5,31,0,-4947.44,-5.14124,-4.9873,-6.7771,0.0416358,0.0490979,0.0461017,0.15354,44.5343,27.0059,0.498555,0.190204,0.174603,0.0094681,0.0992365,0.455355,0.0949718,0.100228,0.113376,0.0940903,0.00332344,0.0150084,1.68271,1.26222,0.19532,0.603043,0.312726,0.0842316
4961.78,0.973456,0.139703,5,31,0,-4948.44,-5.09693,-5.21293,-5.41342,0.0415756,0.0495605,0.0315713,0.124187,28.3451,37.0675,0.405548,0.285074,0.234962,0.00496953,0.170354,0.369494,0.0180455,0.133461,0.156435,0.0184294,0.0454226,0.00406058,1.43746,4.17491,0.538077,0.598658,0.301411,0.0999309
4956.74,0.678359,0.139703,4,31,0,-4935.21,-5.2267,-5.20231,-5.53053,0.040774,0.0497937,0.0334791,0.128568,26.3613,35.9074,0.424706,0.339005,0.330102,0.00449277,0.191136,0.390564,0.0412879,0.138703,0.163436,0.0279759,0.0538877,0.00735882,1.49013,3.72759,0.540806,0.608645,0.298666,0.0926891
4957.85,0.922223,0.139703,5,31,0,-4942.61,-4.86799,-4.98119,-5.71523,0.0361339,0.0469162,0.0444626,0.150558,42.0854,26.6262,0.475173,0.261994,0.116138,0.116945,0.116993,0.41972,0.122703,0.111204,0.131888,0.0517997,0.000748497,0.0146931,1.42662,1.38316,0.214288,0.5197,0.410422,0.0698787
4964.88,0.997284,0.139703,5,31,0,-4947.53,-5.11903,-5.36215,-4.53982,0.0434261,0.049748,0.00403143,0.141637,33.5675,50.7335,0.488862,0.294813,0.0512991,0.0131249,0.185252,0.396595,0.0458143,0.103723,0.141913,0.062427,0.00791989,0.00763564,1.17026,2.11563,0.30892,0.657016,0.269622,0.0733622
4962.39,0.994591,0.139703,4,15,0,-4954.2,-5.16372,-5.41026,-4.44165,0.0416562,0.0498985,0.0105856,0.121363,33.7187,51.0244,0.467215,0.187269,0.0126219,0.0248976,0.144592,0.43177,0.084662,0.130821,0.15208,0.0552874,0.0227536,0.0236488,1.41365,2.33011,0.306814,0.670153,0.267497,0.0623503
4965.96,0.994511,0.139703,5,31,0,-4954.48,-5.03155,-5.1111,-4.23252,0.0393575,0.0494978,0.00388525,0.153194,38.1451,26.1178,0.497056,0.244067,0.0398875,0.0103178,0.155859,0.394137,0.0891353,0.114552,0.122367,0.134263,0.00276052,0.00991701,1.41892,0.863149,0.292237,0.603499,0.306327,0.0901741
4968.17,0.99714,0.139703,5,31,0,-4954.13,-5.24347,-5.29104,-4.35087,0.0414927,0.0473744,0.00737731,0.112825,35.7548,31.0673,0.480832,0.323207,0.235957,0.0206586,0.173882,0.339648,0.00911162,0.140145,0.136386,0.0432533,0.00666721,0.0053167,1.47223,4.59168,0.392975,0.587726,0.336741,0.0755331
4968.94,0.992063,0.139703,5,31,0,-4956.65,-4.83173,-5.07715,-4.45183,0.0467209,0.0495189,0.00546498,0.194501,31.6383,29.4397,0.480529,0.199734,0.126985,0.0762363,0.141574,0.428245,0.0534419,0.0738073,0.11844,0.103098,0.0147971,0.0198405,1.48924,2.36383,0.256999,0.675678,0.249986,0.0743359
4964.51,0.857019,0.139703,5,31,0,-4956.06,-4.81476,-5.19653,-4.89024,0.0332169,0.0497363,0.0084547,0.136355,34.9922,37.2919,0.496899,0.0575619,0.334701,0.0227099,0.208172,0.235953,0.0118315,0.165915,0.0900629,0.080218,0.0205573,0.00348805,1.39473,1.26999,0.388511,0.578904,0.273556,0.147539
4967.82,1,0.139703,5,31,0,-4958.28,-4.98659,-4.92173,-4.25565,0.047625,0.0470061,0.00440979,0.201383,36.2759,30.1598,0.423894,0.241173,0.03144,0.105186,0.139796,0.426652,0.073237,0.0740056,0.121766,0.0831086,0.00367894,0.013419,1.49529,3.13932,0.365277,0.598178,0.351936,0.0498858
4966.17,0.853984,0.139703,5,31,0,-4955.8,-5.13435,-5.17988,-4.88988,0.0387381,0.04957,0.0033991,0.113624,33.0203,29.2193,0.496811,0.107604,0.294062,0.00614774,0.210954,0.298582,0.0182858,0.196213,0.110286,0.0719813,0.0273427,0.00131575,1.4527,2.20743,0.659958,0.595077,0.255422,0.149501
4965.78,0.957549,0.139703,5,31,0,-4952.34,-5.08448,-4.71869,-5.21912,0.0444219,0.0484753,0.00666763,0.192673,40.286,42.8528,0.4874,0.200454,0.42642,0.11577,0.159374,0.295166,0.0345963,0.102704,0.076787,0.0988751,0.0116129,0.00275806,1.2497,3.40329,0.367373,0.600084,0.327698,0.0722177
4961.95,0.99013,0.139703,5,31,0,-4950.35,-4.9031,-4.49023,-4.50268,0.0400383,0.0457827,0.000612556,0.189291,31.0605,40.1575,0.477578,0.198658,0.169501,0.00542721,0.21364,0.232353,0.0248214,0.118517,0.0650947,0.108229,0.00142032,0.00209815,1.8194,3.72149,0.621382,0.617733,0.295712,0.086555
4966.11,0.38974,0.139703,5,31,0,-4948.27,-4.8947,-4.54891,-3.72982,0.0408388,0.0431798,0.000578094,0.212496,38.1723,40.5426,0.479858,0.249202,0.114878,0.016166,0.188223,0.254586,0.0296007,0.123741,0.0649717,0.0603112,0.00145551,0.00313249,1.96742,2.59836,0.48398,0.610118,0.323534,0.0663474
