# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121394735 (Default)
# output
#   file = sporadic-survival-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.124844
# Diagonal elements of inverse mass matrix:
# 0.0114673, 0.00956158, 0.0134238, 0.0253923, 0.211958, 0.0326013
-29.0258,0.977394,0.124844,4,15,0,30.7985,0.0180353,0.102271,0.374381,0.749892,18.0343,0.538204,0.983186,0.910139,0.723592,0.549123,0.916584,0.639386,0.276835,0.130259
-28.3098,0.898317,0.124844,3,7,0,30.9285,0.0183295,0.102028,0.373035,0.790964,17.8335,0.550905,0.982928,0.910443,0.72496,0.535448,0.915367,0.640768,0.280114,0.124318
-30.9389,0.955843,0.124844,5,47,0,33.7452,0.0187597,0.117383,0.390306,0.826837,7.78009,0.505795,0.983852,0.905169,0.731418,0.543349,0.914539,0.605213,0.264075,0.111417
-32.923,0.836827,0.124844,4,31,0,34.723,0.0155932,0.0884002,0.394143,0.813025,16.5093,0.615121,0.985523,0.922212,0.716524,0.535121,0.927509,0.679259,0.278081,0.132341
-29.9587,0.998268,0.124844,5,47,0,36.2594,0.0196203,0.126757,0.434288,0.994235,4.88267,0.760154,0.984587,0.907547,0.737754,0.545184,0.913142,0.606868,0.287438,0.134094
-27.5453,0.985281,0.124844,3,15,0,31.646,0.0187299,0.111549,0.447738,1.03966,5.08374,0.721184,0.985131,0.916912,0.728194,0.52691,0.91653,0.63581,0.273373,0.121094
-26.9755,0.831901,0.124844,4,15,0,30.253,0.0182557,0.12642,0.480396,1.09842,3.90414,0.816965,0.986503,0.913207,0.733264,0.545184,0.919739,0.614026,0.27689,0.13239
-27.2861,0.665049,0.124844,2,3,0,28.2469,0.0184221,0.126905,0.483546,1.13243,4.18009,0.814374,0.986104,0.911202,0.727315,0.530616,0.918784,0.612004,0.274138,0.127424
-27.5913,0.956237,0.124844,4,15,0,29.3919,0.0191439,0.121917,0.465032,1.03685,4.11228,0.759974,0.985629,0.914597,0.734365,0.549565,0.915723,0.618677,0.27386,0.129811
-28.5365,0.827128,0.124844,5,47,0,30.358,0.0171254,0.0960916,0.391938,0.826567,7.57636,0.591427,0.98531,0.921875,0.734289,0.552323,0.921849,0.661722,0.278994,0.127813
-26.6271,0.843168,0.124844,2,3,0,29.839,0.0172021,0.097409,0.395832,0.830547,8.20409,0.580797,0.985075,0.91997,0.729336,0.546475,0.921336,0.657334,0.274065,0.124742
-27.5327,0.959421,0.124844,4,15,0,28.4158,0.0198915,0.102308,0.385272,0.824169,11.2312,0.583225,0.982138,0.913279,0.727018,0.537557,0.90937,0.64365,0.279516,0.125249
-31.2385,0.89466,0.124844,4,15,0,33.3045,0.0207444,0.0863189,0.399185,0.834206,8.75098,0.575396,0.981891,0.927952,0.725454,0.542091,0.906192,0.685548,0.270575,0.12281
-29.7889,0.920152,0.124844,4,15,0,34.8741,0.0203051,0.0995483,0.371301,0.826284,10.8036,0.581628,0.981841,0.915761,0.735519,0.537872,0.90768,0.650542,0.288777,0.12468
-26.5225,0.970847,0.124844,5,31,0,31.8007,0.0194632,0.113488,0.413424,0.901976,6.66287,0.629344,0.983679,0.910715,0.729135,0.538459,0.912385,0.623445,0.273621,0.122601
