# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395116 (Default)
# output
#   file = sporadic-survival-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.104351
# Diagonal elements of inverse mass matrix:
# 0.0113023, 0.00918967, 0.0124964, 0.023643, 0.206178, 0.0281754
-30.3556,0.948321,0.104351,4,23,0,31.9549,0.0188896,0.120126,0.605754,1.64971,2.44059,1.01435,0.988332,0.930699,0.735261,0.530668,0.92028,0.645866,0.269371,0.125077
-29.7723,0.741046,0.104351,5,39,0,36.2948,0.0201453,0.127606,0.473437,1.00103,4.9187,0.790619,0.984156,0.906952,0.720972,0.54549,0.911093,0.607145,0.272951,0.138342
-27.6886,1,0.104351,3,7,0,29.8848,0.0200796,0.125233,0.457455,1.08108,4.32308,0.7877,0.984725,0.911379,0.735346,0.536708,0.911828,0.613139,0.281584,0.128594
-29.7444,0.97216,0.104351,5,31,0,30.7819,0.0166436,0.102422,0.52218,1.18155,3.47111,0.887912,0.988145,0.931285,0.727808,0.546213,0.927,0.669422,0.272364,0.136089
-28.0088,0.476039,0.104351,5,31,0,34.9446,0.01899,0.130751,0.453419,1.03043,5.00373,0.784193,0.98499,0.904463,0.72861,0.536199,0.915727,0.600406,0.281345,0.133189
-27.8164,0.801045,0.104351,5,47,0,32.3743,0.0168883,0.102372,0.423497,0.92565,6.28986,0.617866,0.985957,0.919625,0.726056,0.533695,0.923342,0.649058,0.266227,0.117175
-28.562,0.997386,0.104351,5,31,0,29.8408,0.0156541,0.110953,0.394383,0.841453,9.20908,0.661906,0.986207,0.908705,0.729567,0.545493,0.928029,0.628994,0.288613,0.137336
-28.4737,0.944272,0.104351,5,31,0,32.1245,0.019392,0.0956328,0.446374,0.954431,5.61191,0.694756,0.984269,0.926402,0.722914,0.539814,0.913395,0.670387,0.268516,0.127355
-27.9597,0.921704,0.104351,5,31,0,30.2191,0.0176907,0.128511,0.459231,0.997274,5.12191,0.766482,0.985926,0.905392,0.724175,0.541251,0.920959,0.603309,0.275263,0.134422
-29.4419,0.678021,0.104351,4,31,0,33.5652,0.0173202,0.125387,0.447744,1.09007,4.39918,0.754007,0.986732,0.910744,0.73745,0.529955,0.922948,0.610414,0.280593,0.121683
-28.4279,0.96222,0.104351,2,7,0,31.0035,0.0172594,0.127625,0.448279,1.06219,4.75329,0.75771,0.986508,0.907541,0.732832,0.53015,0.922956,0.605284,0.280043,0.125041
-26.2999,0.980073,0.104351,5,31,0,29.6834,0.0187839,0.0995814,0.409809,0.872196,7.07963,0.639806,0.984081,0.920189,0.729034,0.545265,0.915122,0.656095,0.277135,0.129064
-25.8954,0.992173,0.104351,4,31,0,28.4267,0.0163575,0.106077,0.409209,0.885035,7.62367,0.65075,0.985954,0.914461,0.72714,0.538652,0.925293,0.640707,0.278886,0.128577
-26.001,0.962935,0.104351,5,63,0,28.3835,0.0173882,0.107447,0.455438,1.03604,4.75739,0.783198,0.986408,0.921161,0.730448,0.538759,0.922492,0.649062,0.280717,0.132663
-27.9654,0.791547,0.104351,4,23,0,29.5865,0.018223,0.118451,0.460784,1.10924,4.46379,0.771884,0.985996,0.91504,0.73144,0.525816,0.919224,0.625529,0.276919,0.122376
-27.9594,0.999958,0.104351,5,47,0,28.6507,0.0171972,0.108508,0.452524,0.944937,4.91848,0.70552,0.986438,0.91957,0.727272,0.553069,0.922957,0.642019,0.268565,0.131562
-27.2712,0.953569,0.104351,5,39,0,30.5676,0.0178991,0.10355,0.406788,0.856714,8.78502,0.598673,0.984339,0.914602,0.722161,0.53668,0.918289,0.642802,0.27013,0.123192
-27.9974,0.888861,0.104351,4,31,0,34.3734,0.019528,0.0997067,0.432404,0.959558,5.05049,0.706486,0.984528,0.925211,0.735113,0.547087,0.913209,0.662143,0.278997,0.129386
-26.9951,0.999824,0.104351,3,7,0,28.6185,0.0194699,0.098897,0.433081,0.940002,5.4468,0.665214,0.984303,0.924437,0.729597,0.543308,0.913054,0.661232,0.270668,0.124411
-28.072,0.954461,0.104351,5,63,0,29.6784,0.0173046,0.131342,0.474892,1.11206,3.88624,0.787545,0.987213,0.910126,0.734898,0.540045,0.923562,0.602631,0.274588,0.125919
-29.697,0.913426,0.104351,3,7,0,31.4586,0.0169514,0.133535,0.461062,1.11243,4.39826,0.822467,0.987017,0.905752,0.733865,0.531051,0.92467,0.599227,0.285355,0.130595
-28.2005,0.999362,0.104351,5,39,0,32.3922,0.0196621,0.127521,0.545431,1.41605,2.93888,0.967797,0.986862,0.920905,0.735788,0.532081,0.915978,0.625749,0.278935,0.129758
-28.4075,0.85392,0.104351,3,7,0,29.1546,0.0198763,0.127218,0.557636,1.28407,2.9997,0.95,0.986612,0.920416,0.729215,0.549822,0.914961,0.624883,0.271285,0.13788
-27.8608,0.694827,0.104351,2,3,0,29.6629,0.0198804,0.127892,0.55625,1.30001,3.24862,0.952361,0.986204,0.917724,0.722957,0.537195,0.914524,0.622422,0.270805,0.13563
-28.5384,0.89385,0.104351,3,7,0,29.6897,0.0200618,0.127752,0.53308,1.35919,2.97509,0.942878,0.986532,0.920333,0.738255,0.53746,0.914255,0.62361,0.279462,0.130277
-29.2796,0.624823,0.104351,4,19,0,33.5862,0.0218735,0.133048,0.563564,1.40194,2.78825,1.0018,0.985716,0.919534,0.735428,0.544367,0.907867,0.618789,0.278674,0.13705
-31.0681,0.955889,0.104351,5,63,0,33.8274,0.021059,0.142515,0.573655,1.50321,2.5426,0.991487,0.986769,0.917463,0.7405,0.541812,0.911563,0.603713,0.275484,0.129853
-29.3143,0.997057,0.104351,3,7,0,31.1897,0.0207175,0.142468,0.574514,1.49498,2.66478,0.980835,0.986712,0.915833,0.735393,0.535115,0.912519,0.602096,0.272505,0.127739
-29.6352,0.926949,0.104351,3,15,0,31.6581,0.0209066,0.136947,0.606579,1.47416,2.81925,1.08738,0.986284,0.917318,0.723394,0.539178,0.911832,0.617059,0.277264,0.144241
-28.026,0.988733,0.104351,5,31,0,30.9552,0.0216103,0.131352,0.583824,1.47881,2.78992,1.02357,0.985884,0.920518,0.72945,0.53456,0.908958,0.623098,0.275079,0.13448
-25.7233,0.978158,0.104351,6,79,0,30.435,0.016808,0.110234,0.436594,0.980895,5.38503,0.730486,0.986464,0.916822,0.7307,0.538692,0.924398,0.638682,0.280204,0.130116
-30.0987,0.936993,0.104351,5,63,0,31.2921,0.0214253,0.12633,0.661327,1.71277,2.41666,1.13951,0.986859,0.928044,0.724176,0.535364,0.9111,0.64145,0.272275,0.140261
-27.3128,0.547255,0.104351,5,63,0,35.9594,0.0167705,0.107263,0.444123,1.02804,4.5267,0.730702,0.987047,0.922088,0.736619,0.540336,0.925074,0.647146,0.27816,0.125075
