# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395509 (Default)
# output
#   file = sporadic-survival-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.114719
# Diagonal elements of inverse mass matrix:
# 0.0105992, 0.00886473, 0.0103054, 0.0189118, 0.213277, 0.0285522
-25.8456,0.963318,0.114719,2,7,0,30.2901,0.0173631,0.110835,0.424973,0.962522,5.64498,0.696011,0.985878,0.915475,0.732781,0.53729,0.921838,0.634886,0.280158,0.126371
-27.1277,0.874833,0.114719,4,23,0,29.6898,0.0175187,0.108087,0.437538,0.910843,5.55505,0.665076,0.985798,0.917581,0.726519,0.550298,0.921134,0.63943,0.268043,0.12872
-27.9504,0.875049,0.114719,3,15,0,30.7166,0.0177301,0.106583,0.426998,0.991402,5.26395,0.749481,0.985805,0.919826,0.736907,0.53925,0.920662,0.64812,0.288798,0.132107
-28.9978,0.982517,0.114719,5,31,0,31.0446,0.0203273,0.110381,0.466203,0.992274,4.30525,0.744094,0.984551,0.921063,0.730397,0.555052,0.910675,0.641559,0.270001,0.132603
-26.9134,1,0.114719,3,7,0,29.3989,0.0195106,0.112014,0.436266,1.01569,4.85584,0.72802,0.984689,0.917484,0.736124,0.537282,0.913492,0.635673,0.281032,0.125681
-28.1935,0.976053,0.114719,3,15,0,29.8465,0.0210874,0.118157,0.440752,0.942999,5.69478,0.686328,0.982861,0.910137,0.724554,0.541264,0.906347,0.618202,0.269844,0.12745
-27.9086,0.984655,0.114719,3,7,0,29.1218,0.0207174,0.117264,0.431712,1.00609,5.19335,0.715038,0.983494,0.912556,0.734275,0.533317,0.908279,0.622838,0.280548,0.124224
-27.1588,0.983901,0.114719,5,31,0,29.8941,0.0179913,0.106426,0.499234,1.14443,3.66727,0.817837,0.986956,0.927348,0.730156,0.541783,0.921077,0.656335,0.269547,0.127953
-27.8049,0.650279,0.114719,5,63,0,33.0883,0.0204475,0.126231,0.584952,1.43546,2.71429,0.971561,0.986779,0.92404,0.729964,0.540463,0.913409,0.629852,0.267115,0.130293
-29.5382,0.628846,0.114719,5,31,0,30.731,0.0224117,0.135325,0.54915,1.39559,3.07805,1.00593,0.984789,0.915197,0.731737,0.532539,0.905207,0.613242,0.282665,0.136523
-29.2683,0.739099,0.114719,5,31,0,32.6883,0.0187327,0.121941,0.600884,1.56906,2.47013,0.997277,0.988363,0.929325,0.734997,0.537693,0.920759,0.641255,0.267979,0.127076
-28.4686,0.996188,0.114719,4,31,0,31.5367,0.0199243,0.115177,0.553104,1.35358,3.13694,1.01916,0.986357,0.926354,0.729211,0.538075,0.914772,0.650995,0.282943,0.141782
-26.8139,0.99091,0.114719,5,47,0,30.7318,0.0164294,0.112741,0.40547,0.877698,6.91249,0.594433,0.986104,0.910594,0.730584,0.540735,0.925025,0.622629,0.271803,0.119927
-26.0556,0.976679,0.114719,4,15,0,27.3216,0.0166478,0.111491,0.410203,0.887418,7.2732,0.630317,0.985808,0.910957,0.727543,0.538344,0.924086,0.627347,0.275021,0.124682
-26.4934,0.997228,0.114719,4,31,0,27.6069,0.0192942,0.0993952,0.422124,0.919042,6.04468,0.677603,0.98411,0.922548,0.730472,0.543484,0.913524,0.659758,0.277941,0.129172
-27.2866,0.980404,0.114719,5,31,0,28.837,0.0150895,0.110334,0.40443,0.897736,6.89953,0.647849,0.987233,0.912592,0.732972,0.539511,0.930928,0.631444,0.281955,0.12646
-28.0727,0.958638,0.114719,4,31,0,29.3311,0.0157511,0.111567,0.416033,0.857586,6.96928,0.600218,0.986654,0.911365,0.725089,0.547175,0.92794,0.625614,0.266498,0.124339
-28.566,0.920996,0.114719,5,31,0,32.0447,0.0196389,0.110872,0.402932,0.905116,6.78245,0.691566,0.983491,0.912601,0.735792,0.542136,0.911844,0.632991,0.290532,0.133238
-32.9246,0.944752,0.114719,3,7,0,34.0056,0.0202952,0.118479,0.421989,0.894483,9.39236,0.704533,0.982144,0.903003,0.716362,0.532112,0.908471,0.615025,0.279631,0.135885
-31.9195,0.861881,0.114719,4,15,0,36.973,0.0180624,0.122646,0.414415,0.880281,5.43806,0.570639,0.985419,0.907375,0.735578,0.552778,0.918609,0.601191,0.264229,0.116466
-29.8434,0.970048,0.114719,4,19,0,34.9288,0.0161855,0.109664,0.451323,1.00311,6.23706,0.807789,0.986573,0.915113,0.71988,0.530269,0.926862,0.643027,0.284283,0.139473
-28.7755,0.980777,0.114719,4,23,0,32.3095,0.020443,0.114791,0.454372,1.0074,4.72595,0.670966,0.984068,0.91594,0.72751,0.536534,0.909555,0.62646,0.261982,0.11701
-27.1692,0.988739,0.114719,5,31,0,30.5069,0.0202602,0.102081,0.459997,1.02697,4.59812,0.774369,0.984331,0.925422,0.730105,0.54308,0.910808,0.661051,0.277376,0.1326
-30.4591,0.872332,0.114719,4,31,0,32.3718,0.0204004,0.0948162,0.493803,1.12251,3.85941,0.855413,0.984998,0.933825,0.729898,0.544323,0.911275,0.683776,0.277392,0.136096
-30.6786,0.90659,0.114719,3,7,0,33.3594,0.0203826,0.0946173,0.492064,1.14835,3.64705,0.830401,0.985274,0.935039,0.73382,0.542641,0.911511,0.683857,0.274843,0.129666
-27.0902,0.861931,0.114719,4,15,0,32.1442,0.018208,0.126028,0.499562,1.16732,3.87741,0.832918,0.986567,0.913686,0.726517,0.532298,0.92001,0.615905,0.271134,0.127402
