# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = ppc_model
# start_datetime = 2022-07-15 20:21:55 UTC
# method = generate_quantities
#   generate_quantities
#     fitted_params = fit-4.csv
# id = 1 (Default)
# data
#   file = calibration.json
# init = 2 (Default)
# random
#   seed = 179303540 (Default)
# output
#   file = ppc-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
p_MSI_MLH1,p_MSI_MSH2,p_MSI_MSH6,pred_log_risk_ratio_under60,pred_log_risk_ratio_lowrisk,ppc_Dabir_MSI_MLH1,ppc_Dabir_MSI_MSH2,ppc_Dabir_MSI_MSH6,ppc_risk_ratio_under60,ppc_risk_ratio_lowrisk,ppc_PLSD_crc_MLH1_male.1,ppc_PLSD_crc_MLH1_male.2,ppc_PLSD_crc_MLH1_male.3,ppc_PLSD_crc_MLH1_male.4,ppc_PLSD_crc_MLH1_male.5,ppc_PLSD_crc_MLH1_male.6,ppc_PLSD_crc_MLH1_male.7,ppc_PLSD_crc_MLH1_male.8,ppc_PLSD_crc_MLH1_male.9,ppc_PLSD_crc_MLH1_male.10,ppc_PLSD_crc_MLH1_male.11,ppc_PLSD_crc_MLH1_female.1,ppc_PLSD_crc_MLH1_female.2,ppc_PLSD_crc_MLH1_female.3,ppc_PLSD_crc_MLH1_female.4,ppc_PLSD_crc_MLH1_female.5,ppc_PLSD_crc_MLH1_female.6,ppc_PLSD_crc_MLH1_female.7,ppc_PLSD_crc_MLH1_female.8,ppc_PLSD_crc_MLH1_female.9,ppc_PLSD_crc_MLH1_female.10,ppc_PLSD_crc_MLH1_female.11,ppc_PLSD_crc_MSH2_male.1,ppc_PLSD_crc_MSH2_male.2,ppc_PLSD_crc_MSH2_male.3,ppc_PLSD_crc_MSH2_male.4,ppc_PLSD_crc_MSH2_male.5,ppc_PLSD_crc_MSH2_male.6,ppc_PLSD_crc_MSH2_male.7,ppc_PLSD_crc_MSH2_male.8,ppc_PLSD_crc_MSH2_male.9,ppc_PLSD_crc_MSH2_male.10,ppc_PLSD_crc_MSH2_male.11,ppc_PLSD_crc_MSH2_female.1,ppc_PLSD_crc_MSH2_female.2,ppc_PLSD_crc_MSH2_female.3,ppc_PLSD_crc_MSH2_female.4,ppc_PLSD_crc_MSH2_female.5,ppc_PLSD_crc_MSH2_female.6,ppc_PLSD_crc_MSH2_female.7,ppc_PLSD_crc_MSH2_female.8,ppc_PLSD_crc_MSH2_female.9,ppc_PLSD_crc_MSH2_female.10,ppc_PLSD_crc_MSH2_female.11,ppc_PLSD_crc_MSH6_male.1,ppc_PLSD_crc_MSH6_male.2,ppc_PLSD_crc_MSH6_male.3,ppc_PLSD_crc_MSH6_male.4,ppc_PLSD_crc_MSH6_male.5,ppc_PLSD_crc_MSH6_male.6,ppc_PLSD_crc_MSH6_male.7,ppc_PLSD_crc_MSH6_male.8,ppc_PLSD_crc_MSH6_male.9,ppc_PLSD_crc_MSH6_male.10,ppc_PLSD_crc_MSH6_male.11,ppc_PLSD_crc_MSH6_female.1,ppc_PLSD_crc_MSH6_female.2,ppc_PLSD_crc_MSH6_female.3,ppc_PLSD_crc_MSH6_female.4,ppc_PLSD_crc_MSH6_female.5,ppc_PLSD_crc_MSH6_female.6,ppc_PLSD_crc_MSH6_female.7,ppc_PLSD_crc_MSH6_female.8,ppc_PLSD_crc_MSH6_female.9,ppc_PLSD_crc_MSH6_female.10,ppc_PLSD_crc_MSH6_female.11,ppc_PLSD_crc_PMS2.1,ppc_PLSD_crc_PMS2.2,ppc_PLSD_crc_PMS2.3,ppc_PLSD_crc_PMS2.4,ppc_PLSD_crc_PMS2.5,ppc_PLSD_crc_PMS2.6,ppc_PLSD_crc_PMS2.7,ppc_PLSD_crc_PMS2.8,ppc_PLSD_crc_PMS2.9,ppc_PLSD_crc_PMS2.10,ppc_PLSD_crc_PMS2.11,ppc_Germany_index_findings.1,ppc_Germany_index_findings.2,ppc_Germany_index_findings.3,ppc_Netherlands_index_findings.1,ppc_Netherlands_index_findings.2,ppc_Netherlands_index_findings.3,ppc_Finland_index_findings.1,ppc_Finland_index_findings.2,ppc_Finland_index_findings.3,ppc_Germany_fu_adenomas,ppc_Netherlands_fu_adenomas,ppc_Finland_fu_adenomas,ppc_Germany_fu_crc.1,ppc_Germany_fu_crc.2,ppc_Germany_fu_crc.3,ppc_Germany_fu_crc.4,ppc_Netherlands_fu_crc.1,ppc_Netherlands_fu_crc.2,ppc_Netherlands_fu_crc.3,ppc_Netherlands_fu_crc.4,ppc_Finland_fu_crc.1,ppc_Finland_fu_crc.2,ppc_Finland_fu_crc.3,ppc_Finland_fu_crc.4
0.80799,0.8387,0.293155,0.500493,-1.37686,221,186,9,1.72826,0.250118,3,5,9,7,4,8,11,4,5,0,1,7,2,11,7,13,12,22,7,6,3,2,2,4,7,4,9,8,12,5,6,3,1,6,2,7,4,12,10,26,15,15,5,11,1,0,3,1,3,0,6,1,3,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,303,47,15,500,90,23,566,79,31,200,573,395,88,3,4,0,50,16,2,1,42,25,10,1
0.822631,0.867624,0.350792,0.538035,-1.33906,240,197,13,1.5283,0.246766,5,9,14,6,13,10,7,6,5,1,0,8,1,17,7,22,9,21,16,6,6,5,1,3,6,4,7,4,15,2,4,3,3,5,3,9,6,11,8,16,6,5,4,7,1,1,1,2,3,1,3,3,2,4,2,0,0,0,1,2,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,299,49,17,512,69,32,559,80,37,172,513,357,88,7,0,0,44,23,0,2,36,29,11,2
0.815694,0.880517,0.414715,0.541849,-1.34768,237,195,12,1.79234,0.288756,3,7,9,6,13,9,5,5,3,2,2,8,4,11,16,17,10,9,7,7,6,3,3,2,6,4,12,7,7,5,2,1,2,3,5,8,2,8,7,8,12,14,4,3,1,2,3,4,2,2,4,1,2,1,4,0,1,2,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,60,17,515,70,28,561,87,28,193,546,367,85,4,3,3,45,24,0,0,37,37,4,0
0.837498,0.876139,0.638654,0.555175,-1.19906,249,199,24,1.71458,0.289465,14,3,4,10,14,3,10,3,3,3,1,6,7,7,11,12,4,12,4,12,2,4,4,3,4,2,7,3,4,3,5,1,0,9,3,8,9,13,12,19,10,11,6,3,0,2,3,1,2,1,4,6,4,1,2,1,0,0,1,2,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,293,53,19,497,80,36,565,88,23,169,550,343,88,1,1,5,49,19,0,1,29,38,8,3
0.839154,0.881217,0.37175,0.545246,-1.30942,239,194,9,1.67916,0.258028,4,6,12,7,13,9,10,2,5,3,1,8,10,15,7,13,17,9,8,8,2,4,0,1,7,7,11,6,6,1,4,0,3,2,6,9,10,10,11,16,12,10,7,4,1,0,3,0,2,1,7,3,4,2,1,1,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299,49,17,519,67,27,582,64,30,185,566,384,91,1,1,2,44,18,4,3,43,18,17,0
0.815681,0.842808,0.406127,0.508531,-1.33024,238,190,15,1.59591,0.253839,6,2,7,10,11,7,3,3,9,2,2,6,3,3,9,15,7,10,9,11,3,10,3,2,7,4,8,7,6,2,2,1,2,6,2,14,5,7,8,9,13,11,6,4,1,1,3,2,3,1,3,2,2,0,1,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,287,69,9,494,91,28,568,87,21,177,573,422,87,4,3,1,39,27,3,0,33,27,17,1
0.827908,0.854191,0.432292,0.540478,-1.33194,239,185,13,1.51799,0.270035,8,8,8,9,13,7,11,4,6,2,3,11,4,8,10,17,14,11,7,10,2,6,2,2,7,7,6,8,4,3,1,2,2,3,0,4,9,8,11,17,7,14,5,3,2,0,2,0,2,0,6,3,3,0,2,0,1,1,1,3,2,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,291,58,16,537,59,17,574,70,32,171,545,402,88,7,0,0,42,26,0,1,34,33,9,2
0.810165,0.891193,0.515081,0.533099,-1.14596,237,200,16,1.74312,0.290605,3,3,10,6,11,5,5,1,6,0,1,7,2,15,12,12,16,16,12,8,4,6,3,7,7,7,5,6,10,2,6,2,1,1,3,6,5,7,13,6,11,9,9,3,2,1,4,2,5,1,5,0,1,0,0,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,300,53,12,507,86,20,568,71,37,218,529,378,89,2,2,2,52,16,1,0,43,24,10,1
0.835585,0.881923,0.424415,0.543918,-1.20671,232,202,16,2.03226,0.251871,6,4,9,11,11,5,8,2,6,1,0,7,6,11,6,20,10,10,6,11,4,5,2,5,6,1,8,3,8,1,4,3,1,3,4,7,5,9,12,15,4,5,2,7,1,0,1,2,2,2,5,1,3,0,0,1,1,2,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,294,54,17,503,88,22,574,81,21,186,539,400,86,4,4,1,49,18,1,1,47,17,12,2
0.798571,0.865639,0.386012,0.521076,-1.3723,231,188,12,1.62878,0.247181,5,6,11,14,8,6,9,4,6,0,2,5,5,15,10,23,9,15,5,4,7,7,3,4,9,6,10,7,4,1,5,3,1,4,1,7,4,9,11,10,7,7,5,8,0,0,3,3,1,2,4,3,2,2,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,297,57,11,511,70,32,564,79,33,190,563,351,91,1,2,1,35,29,4,1,33,33,11,1
