# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-1.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.117832
# Diagonal elements of inverse mass matrix:
# 0.00402287, 0.00178843, 0.0606368, 1.03347, 1.5358, 2.54036, 0.130208, 32.3695, 0.0671733, 1.79788, 0.965815, 2.46967, 1.44191, 0.212909, 0.443374, 1.05055, 0.126523, 0.061787, 0.613176, 1.81703, 1.09289, 0.0742128, 0.154101, 0.170865, 0.0356365, 0.120044
4961.85,0.995044,0.117832,5,31,0,-4949.09,-4.40661,-5.22473,-5.80901,0.0321726,0.0474224,0.0439523,0.179718,34.9852,44.1425,0.466499,0.3239,0.0129979,0.00824581,0.173437,0.323986,0.128957,0.111625,0.126424,0.0400825,0.0100432,0.00205371,0.973353,3.65224,0.457573,0.625841,0.295202,0.0789561
4962.38,0.636162,0.117832,5,31,0,-4944.04,-4.5187,-4.88999,-5.12327,0.0425579,0.0495504,0.016682,0.211982,32.003,29.6865,0.487931,0.152009,0.477923,0.0223019,0.0981464,0.433427,0.00979874,0.0651288,0.0911263,0.0555653,0.00780123,0.0040339,1.90819,1.73478,0.287965,0.579365,0.315864,0.104771
4964.84,0.989221,0.117832,5,31,0,-4950.86,-5.06446,-5.33701,-3.95349,0.03856,0.0480642,0.00305452,0.115949,32.5636,36.2578,0.478894,0.191757,0.00119912,0.0447926,0.195851,0.354203,0.0294969,0.168249,0.127157,0.0548422,0.0365053,0.0092238,1.10466,1.85489,0.454989,0.576835,0.340435,0.0827302
4964.18,1,0.117832,5,31,0,-4952.75,-5.24359,-5.17855,-5.5882,0.0453867,0.0493599,0.0236726,0.14914,37.2719,22.5258,0.488395,0.14659,0.359395,0.0341107,0.160792,0.477753,0.0281358,0.133006,0.155422,0.134625,0.0021234,0.00772284,2.14994,1.81668,0.279506,0.605401,0.319956,0.0746427
4970.39,0.984428,0.117832,5,31,0,-4957.09,-5.1221,-5.23713,-4.78931,0.0430878,0.048806,0.00148958,0.0843358,28.2533,31.332,0.456839,0.272497,0.225986,0.0445934,0.102486,0.280015,0.0430759,0.085408,0.118765,0.0754456,0.0075686,0.010675,1.07775,1.70672,0.430483,0.605541,0.286354,0.108105
4962.14,0.876288,0.117832,5,31,0,-4953.54,-5.08987,-4.78507,-5.20555,0.0464192,0.0487711,0.00401784,0.164381,32.6627,19.537,0.478241,0.109049,0.373355,0.0136166,0.12172,0.359763,0.0209821,0.100226,0.0912459,0.278425,0.0115573,0.0142692,1.80831,1.08554,0.233666,0.575454,0.31093,0.113616
4967.9,0.941731,0.117832,5,31,0,-4951.03,-5.07397,-5.18137,-3.37297,0.0390247,0.0498152,0.00705691,0.118899,24.9524,31.3281,0.458358,0.15803,0.186062,0.102858,0.182752,0.317198,0.00713377,0.136303,0.089088,0.0104454,0.0153497,0.0086641,1.18831,3.43064,0.543068,0.614795,0.282815,0.10239
4969.07,0.991805,0.117832,5,31,0,-4958.96,-4.86037,-4.9795,-3.4138,0.037214,0.0499387,0.00603031,0.163269,31.6268,24.4772,0.496222,0.241743,0.126543,0.0197878,0.260206,0.328285,0.00855095,0.173345,0.0946586,0.0226228,0.0414364,0.00679071,1.43459,1.84539,0.493906,0.589131,0.331442,0.0794269
4968.41,0.848444,0.117832,5,63,0,-4948.69,-4.87206,-4.99072,-3.57357,0.0354895,0.0499208,0.00488892,0.169114,32.3918,22.928,0.496401,0.256587,0.124288,0.0212175,0.268559,0.350239,0.00728904,0.180505,0.0945369,0.0210995,0.0348884,0.00621735,1.50696,1.97805,0.469847,0.584235,0.33694,0.0788252
4967.01,0.513214,0.117832,5,31,0,-4951.65,-5.27383,-5.12572,-4.45493,0.0465193,0.0471969,0.00278707,0.0926953,26.7047,29.4329,0.476376,0.313613,0.105306,0.0086507,0.114588,0.375663,0.0393394,0.104769,0.120706,0.0703308,0.00724879,0.0105849,1.31176,1.13851,0.359762,0.612109,0.275694,0.112197
