# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-2.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.113347
# Diagonal elements of inverse mass matrix:
# 0.00310997, 0.00131789, 0.162253, 0.703535, 1.35832, 2.3302, 0.103163, 30.3088, 0.0580062, 1.76044, 0.74844, 2.2819, 2.37082, 0.179285, 0.728487, 1.33644, 0.12358, 0.0625029, 0.848459, 1.62877, 1.00466, 0.0639119, 0.154982, 0.151152, 0.0385206, 0.13702
4958.84,0.991865,0.113347,5,31,0,-4952.45,-4.90383,-5.22174,-5.17304,0.0417027,0.0499984,0.00308948,0.182106,39.4069,22.853,0.496054,0.0964214,0.455843,0.0803512,0.193587,0.458473,0.0129761,0.110172,0.146129,0.138091,0.0101541,0.0151764,1.44043,1.62048,0.282374,0.63237,0.250371,0.117258
4963.22,0.988733,0.113347,5,31,0,-4949.08,-5.18334,-5.2085,-3.79385,0.0448047,0.049998,0.00634903,0.146289,32.0108,31.2885,0.477434,0.236497,0.180308,0.0240624,0.142024,0.467495,0.0178854,0.11543,0.150274,0.0146117,0.00386513,0.00521776,1.06759,2.12879,0.434882,0.571542,0.304652,0.123806
4964.94,0.832307,0.113347,5,63,0,-4950.19,-4.87327,-5.03804,-3.79597,0.0380821,0.048974,0.00164655,0.143688,35.8731,31.5148,0.456605,0.19468,0.129531,0.0772694,0.140521,0.298434,0.0150503,0.112036,0.0635081,0.012761,0.0491022,0.0191174,1.92285,1.26061,0.326939,0.598394,0.345706,0.0558994
4957.5,0.976799,0.113347,5,63,0,-4947.38,-5.24594,-5.10391,-2.07076,0.0477901,0.0475686,0.00411015,0.183134,30.7528,28.1763,0.498953,0.235362,0.0424318,0.00825712,0.282802,0.472508,0.00680844,0.165182,0.132733,0.00758288,0.00252554,0.00174038,1.3654,3.21893,0.302423,0.595505,0.287569,0.116926
4958.74,0.998708,0.113347,5,31,0,-4947.68,-5.26325,-5.08719,-2.84269,0.0445629,0.0490156,0.00636775,0.183412,37.9568,26.4856,0.499393,0.319781,0.00954473,0.0649834,0.275967,0.485156,0.00518939,0.176711,0.146447,0.0157841,0.00191015,0.0029556,1.42632,3.93692,0.354392,0.603926,0.324893,0.0711809
4958.41,0.848931,0.113347,5,63,0,-4943.55,-5.30762,-5.16681,-5.36091,0.0479762,0.0482256,0.00117543,0.12157,31.3686,34.266,0.499194,0.0695849,0.443236,0.00907217,0.108862,0.318476,0.00832486,0.0968891,0.131588,0.0972101,0.0561055,0.0117398,2.54974,1.42109,0.346199,0.637171,0.25592,0.106909
4963.04,0.990736,0.113347,5,31,0,-4948.86,-5.1172,-4.99782,-4.65611,0.0488842,0.0487954,0.00346673,0.183552,41.2309,36.7469,0.488631,0.285417,0.234131,0.130067,0.133126,0.441768,0.0165782,0.10046,0.0971485,0.106024,0.00709446,0.0182641,2.04646,1.14097,0.42981,0.58129,0.304485,0.114225
4963.09,0.998477,0.113347,5,31,0,-4950.61,-5.01084,-5.32772,-4.87664,0.0355881,0.0490156,0.0029112,0.0976265,33.9305,30.9795,0.486656,0.102583,0.306128,0.00486868,0.176393,0.406142,0.0692087,0.15523,0.11736,0.111653,0.00403532,0.00552074,1.01847,2.37592,0.318102,0.562906,0.32937,0.107724
4964.92,0.99291,0.113347,5,31,0,-4951.86,-5.20561,-5.09806,-4.94467,0.0453427,0.0485746,0.00716028,0.136888,34.5335,26.1999,0.480676,0.0832615,0.248997,0.0202419,0.118803,0.446645,0.026697,0.0997222,0.100408,0.0829987,0.00589274,0.0238106,2.02339,1.36511,0.469182,0.714021,0.193415,0.0925642
4963.89,0.992364,0.113347,5,31,0,-4951.15,-5.29825,-5.26188,-3.88304,0.0422242,0.0491092,0.00113594,0.135719,40.118,38.9386,0.472702,0.223387,0.175755,0.0629264,0.230192,0.292214,0.0100661,0.1548,0.0961183,0.0303733,0.000156252,0.00429177,1.56267,2.36422,0.239121,0.526001,0.37652,0.0974793
4968.83,0.968571,0.113347,5,31,0,-4952.04,-4.63108,-5.00826,-5.02228,0.0363978,0.0488865,0.0084396,0.218694,33.6936,42.1403,0.485514,0.204373,0.182493,0.0194809,0.204146,0.363527,0.0546651,0.11498,0.104789,0.15777,0.00137954,0.00652332,1.86004,1.57724,0.46952,0.664501,0.260347,0.0751518
4971.32,0.940052,0.113347,5,31,0,-4960.18,-4.75356,-5.00531,-4.64321,0.0347069,0.0489438,0.00350901,0.174925,36.1493,33.6796,0.48888,0.142479,0.273022,0.093627,0.217737,0.328361,0.130206,0.124083,0.0975144,0.0658191,0.00933618,0.0149182,1.47663,1.94968,0.332797,0.6181,0.309219,0.072681
4968.18,0.977368,0.113347,5,63,0,-4958.46,-4.86185,-5.04194,-3.68077,0.0390942,0.0491615,0.000504591,0.16881,31.727,36.0373,0.452005,0.301305,0.0153301,0.0110251,0.152545,0.363838,0.0118952,0.115107,0.0958861,0.0332646,0.00850814,0.00570589,1.76164,1.42496,0.323393,0.646561,0.290416,0.0630231
