# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = calibration_model
# start_datetime = 2022-07-04 15:06:10 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 3504925963 (Default)
# output
#   file = fit-vb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,log_p__,log_g__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Stepsize adaptation complete.
# eta = 1
0,-479.852,-12.2164,-4.93291,-5.13431,-4.58911,0.0420666,0.0491105,0.00352317,0.177138,40.1005,41.4177,0.479869,0.32065,0.394574,0.00637716,0.180994,0.375784,0.0318086,0.123462,0.113233,0.118008,0.0148726,0.00571857,1.13138,1.28428,0.361957,0.671176,0.262928,0.0658959
0,-484.505,-11.5921,-4.8987,-5.11566,-4.96183,0.0431784,0.0475826,0.00138975,0.170403,29.0059,33.4629,0.489631,0.125256,0.217452,0.0556932,0.151315,0.318588,0.0282419,0.115277,0.100608,0.112925,0.0011356,0.00410073,1.69099,1.30508,0.480924,0.572444,0.338999,0.0885571
0,-486.782,-17.3262,-4.94654,-5.10844,-4.82608,0.0400296,0.0495311,0.00723581,0.160872,35.6843,31.5218,0.476784,0.295489,0.0733769,0.00281291,0.188279,0.398427,0.0193228,0.115373,0.119705,0.0787123,0.0415024,0.00237179,1.29226,4.95712,0.347197,0.507113,0.338165,0.154721
0,-469.858,-5.20754,-5.00411,-5.0206,-4.74017,0.0399505,0.0483271,0.00273226,0.173833,39.2586,36.8902,0.488836,0.253746,0.23037,0.0392415,0.180196,0.358512,0.0659225,0.116126,0.104879,0.073028,0.0216146,0.00888527,1.15167,2.54036,0.483306,0.597947,0.306701,0.0953519
0,-483.025,-14.532,-5.03892,-5.16484,-3.88952,0.041459,0.0485869,0.00178741,0.166749,40.5865,41.1198,0.482259,0.164461,0.168254,0.0846761,0.1576,0.295762,0.0395502,0.138689,0.115411,0.0679233,0.0128157,0.00858401,1.08413,1.16521,0.234409,0.525714,0.391946,0.0823395
0,-479.86,-14.0083,-4.94214,-5.05096,-4.64282,0.041442,0.0486775,0.00122122,0.171915,28.8473,30.8811,0.488175,0.26132,0.209951,0.191461,0.192243,0.327586,0.0405404,0.118219,0.10885,0.144136,0.0524385,0.0154119,1.31278,1.36217,0.902248,0.553574,0.35431,0.0921164
0,-476.822,-11.0312,-4.99773,-5.16399,-5.13223,0.0403987,0.049366,0.00163475,0.153497,31.3716,28.4353,0.465441,0.177835,0.136346,0.0264016,0.16348,0.399773,0.046461,0.111002,0.103513,0.0653965,0.00732386,0.00375839,1.47225,2.57052,0.402691,0.628407,0.307567,0.0640264
0,-478.531,-11.4948,-4.94804,-5.15402,-4.26122,0.0435511,0.0486918,0.00427557,0.153546,36.5928,44.2337,0.484223,0.193074,0.1711,0.0288447,0.159044,0.335929,0.0854321,0.111604,0.0954059,0.141074,0.0219971,0.014491,1.3029,1.97241,0.307386,0.592456,0.277231,0.130313
0,-472.238,-8.35196,-4.97151,-5.07396,-4.13369,0.0418271,0.0490326,0.0037172,0.152669,32.7586,29.2456,0.403856,0.183182,0.274146,0.0609117,0.166145,0.350092,0.0448411,0.107846,0.104868,0.068073,0.037866,0.0122414,1.53895,2.51436,0.321873,0.571932,0.324417,0.103651
0,-474.899,-8.72968,-4.88312,-5.13946,-5.05523,0.0392978,0.0488154,0.00251972,0.166984,34.6671,48.4168,0.480563,0.116211,0.250293,0.0136621,0.163751,0.356158,0.0369158,0.113145,0.102422,0.0827766,0.0104965,0.00310087,1.03028,1.95427,0.46571,0.586625,0.30699,0.106385
0,-478.994,-11.4536,-4.98398,-5.11047,-4.2065,0.0414024,0.0484595,0.00378527,0.173685,35.7999,54.9566,0.488724,0.18722,0.217803,0.00745717,0.186912,0.360767,0.0255616,0.102431,0.129151,0.0862724,0.00424217,0.00233421,1.08122,2.11915,0.37564,0.554959,0.321962,0.123079
0,-478.448,-12.4285,-5.02254,-5.0057,-4.66504,0.0418098,0.0496604,0.00175852,0.175226,32.5316,33.3866,0.495303,0.0801901,0.248123,0.0699892,0.172894,0.401685,0.0229735,0.112749,0.0950593,0.0863177,0.00620955,0.0126063,1.04179,1.36097,0.273227,0.598468,0.337896,0.0636359
0,-474.736,-9.76976,-5.00553,-4.97988,-4.84195,0.0420597,0.0495426,0.00513505,0.17835,39.5589,40.5524,0.493826,0.154934,0.223877,0.010064,0.151836,0.383945,0.0218695,0.11978,0.0935953,0.0631545,0.0166022,0.00401099,1.46044,3.31595,0.483198,0.601862,0.278314,0.119824
0,-480.898,-9.69178,-4.9402,-5.14237,-4.9069,0.0423215,0.0496599,0.000977215,0.168612,38.3729,38.5851,0.485293,0.195135,0.185868,0.0160888,0.189091,0.335477,0.031174,0.120991,0.102039,0.040228,0.0470781,0.0244525,0.903637,2.47934,0.336754,0.56487,0.321447,0.113684
0,-476.287,-11.9551,-4.98738,-5.01692,-4.45178,0.041862,0.0497366,0.00980552,0.173727,39.1383,32.668,0.454667,0.20182,0.398384,0.0230907,0.162747,0.32855,0.0172953,0.106893,0.102633,0.0817428,0.0311769,0.00322238,1.22725,2.31474,0.355025,0.510101,0.325768,0.164131
0,-478.249,-9.07893,-5.02415,-5.05736,-4.32651,0.0419476,0.0489453,0.00363498,0.16749,36.3456,46.6267,0.477321,0.23584,0.181412,0.0336955,0.193363,0.359789,0.0641588,0.109188,0.113232,0.101289,0.0892241,0.00839587,1.13134,3.1053,0.730403,0.600393,0.300621,0.0989865
0,-481.421,-10.7727,-4.81948,-5.04587,-4.89834,0.0420644,0.0493174,0.00370508,0.1616,38.3627,42.7923,0.461667,0.154717,0.096293,0.0312817,0.165868,0.314056,0.060694,0.113231,0.0871072,0.0685941,0.0132941,0.0122511,1.19203,1.95721,0.415487,0.587703,0.312274,0.100023
0,-502.227,-17.6722,-4.97298,-4.92937,-4.2819,0.0442885,0.0481664,0.00826643,0.153977,39.1194,40.3685,0.487018,0.17989,0.231279,0.00666476,0.178482,0.366905,0.0228991,0.114395,0.100833,0.181471,0.0045316,0.00239133,1.40724,4.60164,0.382126,0.610575,0.319654,0.0697709
0,-502.885,-14.9408,-4.81481,-5.0735,-4.7788,0.0433029,0.0493139,0.00347286,0.156775,39.7128,33.7111,0.494744,0.102294,0.153904,0.0283252,0.17873,0.310608,0.0297706,0.124698,0.0939007,0.0940739,0.00115359,0.00531791,1.10436,3.13401,0.203915,0.52401,0.374718,0.101272
