# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = ppc_model
# start_datetime = 2022-07-15 20:21:44 UTC
# method = generate_quantities
#   generate_quantities
#     fitted_params = fit-3.csv
# id = 1 (Default)
# data
#   file = calibration.json
# init = 2 (Default)
# random
#   seed = 179292344 (Default)
# output
#   file = ppc-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
p_MSI_MLH1,p_MSI_MSH2,p_MSI_MSH6,pred_log_risk_ratio_under60,pred_log_risk_ratio_lowrisk,ppc_Dabir_MSI_MLH1,ppc_Dabir_MSI_MSH2,ppc_Dabir_MSI_MSH6,ppc_risk_ratio_under60,ppc_risk_ratio_lowrisk,ppc_PLSD_crc_MLH1_male.1,ppc_PLSD_crc_MLH1_male.2,ppc_PLSD_crc_MLH1_male.3,ppc_PLSD_crc_MLH1_male.4,ppc_PLSD_crc_MLH1_male.5,ppc_PLSD_crc_MLH1_male.6,ppc_PLSD_crc_MLH1_male.7,ppc_PLSD_crc_MLH1_male.8,ppc_PLSD_crc_MLH1_male.9,ppc_PLSD_crc_MLH1_male.10,ppc_PLSD_crc_MLH1_male.11,ppc_PLSD_crc_MLH1_female.1,ppc_PLSD_crc_MLH1_female.2,ppc_PLSD_crc_MLH1_female.3,ppc_PLSD_crc_MLH1_female.4,ppc_PLSD_crc_MLH1_female.5,ppc_PLSD_crc_MLH1_female.6,ppc_PLSD_crc_MLH1_female.7,ppc_PLSD_crc_MLH1_female.8,ppc_PLSD_crc_MLH1_female.9,ppc_PLSD_crc_MLH1_female.10,ppc_PLSD_crc_MLH1_female.11,ppc_PLSD_crc_MSH2_male.1,ppc_PLSD_crc_MSH2_male.2,ppc_PLSD_crc_MSH2_male.3,ppc_PLSD_crc_MSH2_male.4,ppc_PLSD_crc_MSH2_male.5,ppc_PLSD_crc_MSH2_male.6,ppc_PLSD_crc_MSH2_male.7,ppc_PLSD_crc_MSH2_male.8,ppc_PLSD_crc_MSH2_male.9,ppc_PLSD_crc_MSH2_male.10,ppc_PLSD_crc_MSH2_male.11,ppc_PLSD_crc_MSH2_female.1,ppc_PLSD_crc_MSH2_female.2,ppc_PLSD_crc_MSH2_female.3,ppc_PLSD_crc_MSH2_female.4,ppc_PLSD_crc_MSH2_female.5,ppc_PLSD_crc_MSH2_female.6,ppc_PLSD_crc_MSH2_female.7,ppc_PLSD_crc_MSH2_female.8,ppc_PLSD_crc_MSH2_female.9,ppc_PLSD_crc_MSH2_female.10,ppc_PLSD_crc_MSH2_female.11,ppc_PLSD_crc_MSH6_male.1,ppc_PLSD_crc_MSH6_male.2,ppc_PLSD_crc_MSH6_male.3,ppc_PLSD_crc_MSH6_male.4,ppc_PLSD_crc_MSH6_male.5,ppc_PLSD_crc_MSH6_male.6,ppc_PLSD_crc_MSH6_male.7,ppc_PLSD_crc_MSH6_male.8,ppc_PLSD_crc_MSH6_male.9,ppc_PLSD_crc_MSH6_male.10,ppc_PLSD_crc_MSH6_male.11,ppc_PLSD_crc_MSH6_female.1,ppc_PLSD_crc_MSH6_female.2,ppc_PLSD_crc_MSH6_female.3,ppc_PLSD_crc_MSH6_female.4,ppc_PLSD_crc_MSH6_female.5,ppc_PLSD_crc_MSH6_female.6,ppc_PLSD_crc_MSH6_female.7,ppc_PLSD_crc_MSH6_female.8,ppc_PLSD_crc_MSH6_female.9,ppc_PLSD_crc_MSH6_female.10,ppc_PLSD_crc_MSH6_female.11,ppc_PLSD_crc_PMS2.1,ppc_PLSD_crc_PMS2.2,ppc_PLSD_crc_PMS2.3,ppc_PLSD_crc_PMS2.4,ppc_PLSD_crc_PMS2.5,ppc_PLSD_crc_PMS2.6,ppc_PLSD_crc_PMS2.7,ppc_PLSD_crc_PMS2.8,ppc_PLSD_crc_PMS2.9,ppc_PLSD_crc_PMS2.10,ppc_PLSD_crc_PMS2.11,ppc_Germany_index_findings.1,ppc_Germany_index_findings.2,ppc_Germany_index_findings.3,ppc_Netherlands_index_findings.1,ppc_Netherlands_index_findings.2,ppc_Netherlands_index_findings.3,ppc_Finland_index_findings.1,ppc_Finland_index_findings.2,ppc_Finland_index_findings.3,ppc_Germany_fu_adenomas,ppc_Netherlands_fu_adenomas,ppc_Finland_fu_adenomas,ppc_Germany_fu_crc.1,ppc_Germany_fu_crc.2,ppc_Germany_fu_crc.3,ppc_Germany_fu_crc.4,ppc_Netherlands_fu_crc.1,ppc_Netherlands_fu_crc.2,ppc_Netherlands_fu_crc.3,ppc_Netherlands_fu_crc.4,ppc_Finland_fu_crc.1,ppc_Finland_fu_crc.2,ppc_Finland_fu_crc.3,ppc_Finland_fu_crc.4
0.821895,0.893341,0.41916,0.542798,-1.18032,226,199,20,1.70568,0.328028,7,5,14,9,14,8,13,6,5,4,1,6,2,10,7,19,12,4,8,11,4,4,2,3,4,3,7,5,8,5,2,0,3,3,2,11,8,7,7,6,11,10,6,2,1,0,4,2,1,0,6,1,4,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,305,47,13,505,81,27,571,83,22,213,569,340,89,3,1,2,42,26,0,1,42,30,5,1
0.760556,0.845886,0.468427,0.481067,-1.2966,217,185,13,1.69137,0.248121,4,4,10,8,13,3,7,3,4,1,3,13,5,9,11,7,10,11,9,11,7,6,6,2,8,3,7,6,2,2,3,1,2,5,6,8,6,14,15,15,14,11,4,5,0,0,0,0,3,5,0,2,4,5,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,56,18,498,87,28,574,64,38,181,548,352,89,4,2,0,44,25,0,0,37,32,9,0
0.821501,0.867112,0.33222,0.533029,-1.25262,244,188,8,1.71093,0.272192,7,6,10,10,7,8,8,2,9,4,3,9,5,12,7,12,12,16,6,8,2,7,5,3,5,4,3,7,7,3,3,2,3,7,3,7,4,10,11,14,7,11,6,3,0,1,1,3,2,2,2,3,2,2,0,0,0,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,296,56,13,494,96,23,572,77,27,170,560,396,86,6,0,3,38,26,3,2,37,30,8,3
0.821616,0.882027,0.361017,0.536727,-1.32363,227,198,17,1.95912,0.299659,12,4,11,8,18,8,10,4,7,2,1,7,6,10,8,19,16,14,8,12,4,2,6,2,7,6,5,2,12,3,4,0,2,1,3,9,6,7,11,12,5,9,1,2,1,2,2,0,3,0,4,0,2,1,0,2,1,1,0,1,2,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,301,54,10,508,85,20,572,76,28,138,517,388,89,1,4,1,37,30,2,0,40,23,14,1
0.834234,0.867056,0.224236,0.537483,-1.26634,236,191,6,1.68251,0.305979,6,6,5,8,9,5,11,6,5,7,2,12,3,13,10,21,12,12,8,13,3,4,4,0,4,6,2,9,11,6,3,0,1,3,3,6,6,10,6,15,6,13,4,10,0,1,2,2,6,2,6,0,0,1,0,1,0,1,2,3,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,304,46,15,515,71,27,582,78,16,175,532,350,86,5,2,2,44,22,1,2,38,29,9,2
0.828893,0.881641,0.466073,0.54709,-1.24698,238,192,21,1.70973,0.262444,7,7,9,7,9,3,7,3,4,5,1,4,2,13,8,20,8,13,5,5,4,5,3,1,5,5,9,5,8,1,1,1,3,7,5,3,4,10,9,20,7,9,5,4,1,0,0,4,1,0,2,2,1,0,2,0,0,1,0,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,294,58,13,496,96,21,575,72,29,211,566,385,83,5,3,4,46,19,1,3,38,25,15,0
0.828857,0.871655,0.502574,0.537544,-1.32725,243,196,18,1.76639,0.303791,4,6,7,6,6,7,2,5,9,5,2,7,4,9,11,14,13,12,9,12,6,7,1,5,5,5,11,3,7,1,3,5,1,5,0,11,5,13,3,17,10,9,6,5,0,1,1,0,2,2,7,5,3,1,1,0,0,1,1,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293,63,9,513,68,32,562,81,33,187,559,391,89,4,1,1,47,18,2,2,47,22,7,2
0.833586,0.891097,0.429937,0.545231,-1.2535,225,196,14,1.98597,0.274938,6,2,11,9,14,5,5,5,5,1,1,4,7,11,9,13,3,15,10,12,9,3,8,3,6,7,11,6,5,5,1,2,3,8,1,10,8,16,9,17,7,11,4,3,1,3,0,2,0,1,2,5,5,1,3,0,1,2,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,304,44,17,485,98,30,556,82,38,194,523,384,89,3,1,2,43,23,1,2,44,22,8,4
0.818392,0.871484,0.457366,0.513603,-1.16462,224,196,15,1.52673,0.293996,4,4,7,6,8,10,11,5,4,3,4,8,4,8,10,16,9,12,8,12,2,4,3,2,6,10,7,5,10,1,3,0,4,3,1,7,3,7,3,9,5,11,2,1,0,3,3,4,3,1,4,2,2,1,2,0,0,2,1,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,305,48,12,535,59,19,581,73,22,155,537,364,92,2,0,1,44,20,4,1,38,30,8,2
0.836575,0.88529,0.438219,0.548251,-1.21735,243,197,16,1.53833,0.320887,2,2,11,12,14,3,6,3,9,3,1,11,7,12,5,17,11,12,9,5,6,7,3,2,8,6,11,7,2,2,4,1,1,3,3,5,9,7,6,14,15,17,5,3,0,2,3,0,1,3,4,3,4,2,1,1,0,0,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,303,47,15,502,94,17,570,72,34,199,554,386,91,3,1,0,40,24,3,2,39,31,7,1
