# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = ppc_model
# start_datetime = 2022-07-15 20:21:25 UTC
# method = generate_quantities
#   generate_quantities
#     fitted_params = fit-1.csv
# id = 1 (Default)
# data
#   file = calibration.json
# init = 2 (Default)
# random
#   seed = 179273488 (Default)
# output
#   file = ppc-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
p_MSI_MLH1,p_MSI_MSH2,p_MSI_MSH6,pred_log_risk_ratio_under60,pred_log_risk_ratio_lowrisk,ppc_Dabir_MSI_MLH1,ppc_Dabir_MSI_MSH2,ppc_Dabir_MSI_MSH6,ppc_risk_ratio_under60,ppc_risk_ratio_lowrisk,ppc_PLSD_crc_MLH1_male.1,ppc_PLSD_crc_MLH1_male.2,ppc_PLSD_crc_MLH1_male.3,ppc_PLSD_crc_MLH1_male.4,ppc_PLSD_crc_MLH1_male.5,ppc_PLSD_crc_MLH1_male.6,ppc_PLSD_crc_MLH1_male.7,ppc_PLSD_crc_MLH1_male.8,ppc_PLSD_crc_MLH1_male.9,ppc_PLSD_crc_MLH1_male.10,ppc_PLSD_crc_MLH1_male.11,ppc_PLSD_crc_MLH1_female.1,ppc_PLSD_crc_MLH1_female.2,ppc_PLSD_crc_MLH1_female.3,ppc_PLSD_crc_MLH1_female.4,ppc_PLSD_crc_MLH1_female.5,ppc_PLSD_crc_MLH1_female.6,ppc_PLSD_crc_MLH1_female.7,ppc_PLSD_crc_MLH1_female.8,ppc_PLSD_crc_MLH1_female.9,ppc_PLSD_crc_MLH1_female.10,ppc_PLSD_crc_MLH1_female.11,ppc_PLSD_crc_MSH2_male.1,ppc_PLSD_crc_MSH2_male.2,ppc_PLSD_crc_MSH2_male.3,ppc_PLSD_crc_MSH2_male.4,ppc_PLSD_crc_MSH2_male.5,ppc_PLSD_crc_MSH2_male.6,ppc_PLSD_crc_MSH2_male.7,ppc_PLSD_crc_MSH2_male.8,ppc_PLSD_crc_MSH2_male.9,ppc_PLSD_crc_MSH2_male.10,ppc_PLSD_crc_MSH2_male.11,ppc_PLSD_crc_MSH2_female.1,ppc_PLSD_crc_MSH2_female.2,ppc_PLSD_crc_MSH2_female.3,ppc_PLSD_crc_MSH2_female.4,ppc_PLSD_crc_MSH2_female.5,ppc_PLSD_crc_MSH2_female.6,ppc_PLSD_crc_MSH2_female.7,ppc_PLSD_crc_MSH2_female.8,ppc_PLSD_crc_MSH2_female.9,ppc_PLSD_crc_MSH2_female.10,ppc_PLSD_crc_MSH2_female.11,ppc_PLSD_crc_MSH6_male.1,ppc_PLSD_crc_MSH6_male.2,ppc_PLSD_crc_MSH6_male.3,ppc_PLSD_crc_MSH6_male.4,ppc_PLSD_crc_MSH6_male.5,ppc_PLSD_crc_MSH6_male.6,ppc_PLSD_crc_MSH6_male.7,ppc_PLSD_crc_MSH6_male.8,ppc_PLSD_crc_MSH6_male.9,ppc_PLSD_crc_MSH6_male.10,ppc_PLSD_crc_MSH6_male.11,ppc_PLSD_crc_MSH6_female.1,ppc_PLSD_crc_MSH6_female.2,ppc_PLSD_crc_MSH6_female.3,ppc_PLSD_crc_MSH6_female.4,ppc_PLSD_crc_MSH6_female.5,ppc_PLSD_crc_MSH6_female.6,ppc_PLSD_crc_MSH6_female.7,ppc_PLSD_crc_MSH6_female.8,ppc_PLSD_crc_MSH6_female.9,ppc_PLSD_crc_MSH6_female.10,ppc_PLSD_crc_MSH6_female.11,ppc_PLSD_crc_PMS2.1,ppc_PLSD_crc_PMS2.2,ppc_PLSD_crc_PMS2.3,ppc_PLSD_crc_PMS2.4,ppc_PLSD_crc_PMS2.5,ppc_PLSD_crc_PMS2.6,ppc_PLSD_crc_PMS2.7,ppc_PLSD_crc_PMS2.8,ppc_PLSD_crc_PMS2.9,ppc_PLSD_crc_PMS2.10,ppc_PLSD_crc_PMS2.11,ppc_Germany_index_findings.1,ppc_Germany_index_findings.2,ppc_Germany_index_findings.3,ppc_Netherlands_index_findings.1,ppc_Netherlands_index_findings.2,ppc_Netherlands_index_findings.3,ppc_Finland_index_findings.1,ppc_Finland_index_findings.2,ppc_Finland_index_findings.3,ppc_Germany_fu_adenomas,ppc_Netherlands_fu_adenomas,ppc_Finland_fu_adenomas,ppc_Germany_fu_crc.1,ppc_Germany_fu_crc.2,ppc_Germany_fu_crc.3,ppc_Germany_fu_crc.4,ppc_Netherlands_fu_crc.1,ppc_Netherlands_fu_crc.2,ppc_Netherlands_fu_crc.3,ppc_Netherlands_fu_crc.4,ppc_Finland_fu_crc.1,ppc_Finland_fu_crc.2,ppc_Finland_fu_crc.3,ppc_Finland_fu_crc.4
0.835639,0.858794,0.325369,0.521598,-1.23209,239,189,9,1.66936,0.279352,5,2,6,3,8,10,12,3,6,4,2,3,7,15,11,16,13,25,5,10,1,9,3,2,5,8,11,7,8,3,3,1,4,7,3,3,15,10,7,12,13,11,9,3,2,0,2,0,3,0,4,4,1,3,1,1,2,0,2,1,1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,312,35,18,514,69,30,566,87,23,191,542,429,86,5,3,1,34,33,2,0,42,31,5,0
0.831084,0.861515,0.350161,0.540093,-1.32829,248,198,11,1.95394,0.253159,8,2,9,8,12,8,13,3,4,2,4,9,1,9,8,10,12,14,7,10,5,5,3,6,5,4,8,8,7,1,2,4,1,3,2,4,5,8,6,13,7,9,4,3,1,1,0,1,4,3,3,4,3,2,1,0,1,1,1,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,296,58,11,479,105,29,561,91,24,174,555,394,89,2,2,2,42,23,2,2,55,15,8,0
0.825051,0.822717,0.322888,0.516195,-1.32099,241,187,16,1.58817,0.258669,5,10,10,7,10,7,10,6,4,2,1,8,4,13,9,16,10,17,16,11,7,7,3,0,4,10,8,6,5,3,1,2,2,3,3,7,6,11,7,11,8,6,6,6,0,0,0,1,2,1,4,3,3,2,2,0,0,3,0,2,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,300,58,7,521,72,20,577,68,31,150,515,390,88,3,1,3,43,22,2,2,38,32,7,1
0.82154,0.872843,0.365209,0.522461,-1.12926,231,196,11,1.54197,0.306123,4,5,10,6,14,9,9,4,3,4,2,9,3,14,8,15,10,11,7,8,4,7,3,3,7,7,9,6,9,3,1,2,2,6,3,2,6,8,6,24,10,14,5,6,0,1,2,1,5,1,0,2,4,2,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,297,51,17,510,88,15,565,86,25,166,516,389,88,3,0,4,48,19,0,2,44,24,10,0
0.833958,0.834839,0.333897,0.513658,-1.36492,236,190,8,1.41523,0.255032,9,2,6,8,6,9,12,4,8,2,2,7,4,16,9,17,7,17,9,8,9,5,5,0,12,5,7,8,10,3,2,2,1,5,1,4,6,10,8,14,9,14,11,2,2,1,0,0,5,3,5,2,5,1,1,2,0,0,0,1,0,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,305,48,12,509,82,22,562,89,25,178,532,428,88,2,4,1,37,24,4,4,33,27,15,3
0.816993,0.864555,0.366299,0.5326,-1.20564,238,188,11,1.7078,0.281167,8,2,14,11,11,8,17,4,3,3,3,8,7,6,11,17,12,10,11,7,3,6,2,3,5,5,5,3,6,3,4,3,1,2,2,7,4,15,7,8,12,14,0,1,0,1,0,2,3,4,5,6,2,1,0,1,2,2,0,0,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,301,52,12,521,58,34,575,70,31,185,546,401,86,3,5,1,42,24,2,1,37,33,8,0
0.829887,0.837557,0.478853,0.509879,-1.22569,232,183,18,1.78914,0.347866,3,3,12,7,20,15,11,6,8,3,2,5,5,14,7,20,12,15,6,8,1,5,2,1,4,5,7,6,2,3,3,4,0,0,3,5,5,7,7,6,8,6,4,1,0,0,0,4,5,1,6,4,5,2,5,2,0,2,3,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,299,51,15,512,81,20,557,93,26,162,517,435,86,4,1,4,41,26,1,1,37,28,11,2
0.835889,0.882523,0.355404,0.546264,-1.25465,246,184,6,1.54611,0.304494,5,3,6,14,5,6,13,6,3,2,1,7,1,8,11,18,17,22,8,10,7,6,2,1,9,6,6,5,7,5,1,2,2,4,2,4,8,12,4,20,12,9,4,6,2,2,0,2,3,1,4,6,1,1,1,4,0,1,4,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,307,40,18,508,89,16,587,63,26,187,551,390,91,1,3,0,43,24,2,0,31,34,11,2
0.836523,0.868787,0.411032,0.540399,-1.34799,245,193,15,1.66727,0.308936,6,5,11,7,17,6,7,2,7,2,1,7,5,14,13,13,13,11,13,13,4,3,2,3,6,7,11,3,8,3,1,1,3,2,5,9,6,12,9,10,7,11,4,3,1,1,4,1,5,0,6,2,0,1,3,1,0,0,1,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,295,58,12,528,68,17,579,70,27,171,529,399,87,5,2,1,37,31,1,0,34,32,12,0
0.795131,0.855748,0.373447,0.520257,-1.36609,232,186,10,1.67324,0.256497,6,2,11,16,13,10,6,2,6,3,0,7,2,16,12,20,7,11,7,12,8,3,2,0,4,4,4,6,12,0,3,2,3,2,2,6,7,9,4,12,3,9,3,1,0,1,2,3,3,1,3,2,4,3,0,0,0,2,1,1,1,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,291,56,18,503,84,26,555,95,26,184,553,358,85,4,3,3,41,24,3,1,40,29,9,0
